215 , Messina , 2-0 , Mantova
216 , Messina , 0-2 , Milan
217 , Messina , 1-2 , Roma
218 , Messina , 2-2 , Sampdoria
219 , Messina , 0-1 , Torino
220 , Messina , 0-1 , Varese
221 , Milan , 2-0 , Atalanta
222 , Milan , 3-1 , Bologna
223 , Milan , 1-0 , Cagliari
224 , Milan , 1-1 , Catania
225 , Milan , 2-0 , Fiorentina
226 , Milan , 1-0 , Foggia
227 , Milan , 1-0 , Genoa
228 , Milan , 3-0 , Internazionale
229 , Milan , 1-0 , Juventus
230 , Milan , 0-1 , L.R. Vicenza
231 , Milan , 2-1 , Lazio
232 , Milan , 2-0 , Mantova
233 , Milan , 2-0 , Messina
234 , Milan , 0-2 , Roma
235 , Milan , 3-0 , Sampdoria
236 , Milan , 1-1 , Torino
237 , Milan , 1-0 , Varese
238 , Roma , 0-0 , Atalanta
239 , Roma , 1-1 , Bologna
240 , Roma , 2-1 , Cagliari
241 , Roma , 2-1 , Catania
242 , Roma , 3-3 , Fiorentina
243 , Roma , 1-0 , Foggia
244 , Roma , 1-1 , Genoa
245 , Roma , 1-3 , Internazionale
246 , Roma , 1-1 , Juventus
247 , Roma , 0-0 , L.R. Vicenza
248 , Roma , 0-0 , Lazio
249 , Roma , 0-0 , Mantova
250 , Roma , 0-1 , Messina
251 , Roma , 1-2 , Milan
252 , Roma , 1-0 , Sampdoria
253 , Roma , 2-2 , Torino
254 , Roma , 5-2 , Varese
255 , Sampdoria , 1-0 , Atalanta
256 , Sampdoria , 0-0 , Bologna
257 , Sampdoria , 1-0 , Cagliari
258 , Sampdoria , 0-1 , Catania
259 , Sampdoria , 3-0 , Fiorentina
260 , Sampdoria , 1-1 , Foggia
261 , Sampdoria , 0-1 , Genoa
262 , Sampdoria , 0-1 , Internazionale
263 , Sampdoria , 1-0 , Juventus
264 , Sampdoria , 0-3 , L.R. Vicenza
265 , Sampdoria , 0-0 , Lazio
266 , Sampdoria , 1-0 , Mantova
267 , Sampdoria , 0-0 , Messina
268 , Sampdoria , 0-2 , Milan
269 , Sampdoria , 1-0 , Roma
270 , Sampdoria , 0-0 , Torino
271 , Sampdoria , 0-0 , Varese
272 , Torino , 1-1 , Atalanta
273 , Torino , 5-0 , Bologna
274 , Torino , 4-0 , Cagliari
275 , Torino , 2-1 , Catania
276 , Torino , 3-1 , Fiorentina
277 , Torino , 0-0 , Foggia
278 , Torino , 4-1 , Genoa
279 , Torino , 0-0 , Internazionale
280 , Torino , 0-3 , Juventus
281 , Torino , 3-0 , L.R. Vicenza
282 , Torino , 2-0 , Lazio
283 , Torino , 2-0 , Mantova
284 , Torino , 1-0 , Messina
285 , Torino , 1-2 , Milan
286 , Torino , 3-1 , Roma
287 , Torino , 0-1 , Sampdoria
288 , Torino , 1-0 , Varese
289 , Varese , 0-0 , Atalanta
290 , Varese , 0-0 , Bologna
291 , Varese , 0-2 , Cagliari
292 , Varese , 3-0 , Catania
293 , Varese , 1-1 , Fiorentina
294 , Varese , 0-0 , Foggia
295 , Varese , 2-2 , Genoa
296 , Varese , 0-0 , Internazionale
297 , Varese , 1-1 , Juventus
298 , Varese , 3-2 , L.R. Vicenza
299 , Varese , 0-1 , Lazio
300 , Varese , 1-0 , Mantova
301 , Varese , 1-0 , Messina
302 , Varese , 0-0 , Milan
303 , Varese , 1-1 , Roma
304 , Varese , 2-0 , Sampdoria
305 , Varese , 2-0 , Torino
shortNames:,,Home ╲ Away,Atalanta !ATA,Bologna !BOL,Cagliari !CAG,Catania !CTN,Fiorentina !FIO,Foggia !FOG,Genoa !GEN,Internazionale !INT,Juventus !JUV,L.R. Vicenza !LRV,Lazio !LAZ,Mantova !MAN,Messina !MES,Milan !MIL,Roma !ROM,Sampdoria !SAM,Torino !TOR,Varese !VAR
fullNames:,,Atalanta,Bologna,Cagliari,Catania,Fiorentina,Foggia,Genoa,Internazionale,Juventus,L.R. Vicenza,Lazio,Mantova,Messina,Milan,Roma,Sampdoria,Torino,Varese
