351 , Toulouse , 3-0 , Lyon
352 , Toulouse , 0-0 , Marseille
353 , Toulouse , 0-1 , Montpellier
354 , Toulouse , 1-0 , Nancy
355 , Toulouse , 0-0 , Nice
356 , Toulouse , 1-3 , Paris Saint-Germain
357 , Toulouse , 1-0 , Rennes
358 , Toulouse , 0-1 , Saint-Étienne
359 , Toulouse , 2-0 , Sochaux
360 , Toulouse , 2-0 , Valenciennes
361 , Valenciennes , 1-2 , Ajaccio
362 , Valenciennes , 2-1 , Auxerre
363 , Valenciennes , 1-2 , Bordeaux
364 , Valenciennes , 0-0 , Brest
365 , Valenciennes , 3-1 , Caen
366 , Valenciennes , 4-0 , Dijon
367 , Valenciennes , 0-3 , Evian
368 , Valenciennes , 0-0 , Lille
369 , Valenciennes , 2-0 , Lorient
370 , Valenciennes , 1-0 , Lyon
371 , Valenciennes , 1-1 , Marseille
372 , Valenciennes , 1-0 , Montpellier
373 , Valenciennes , 1-0 , Nancy
374 , Valenciennes , 2-0 , Nice
375 , Valenciennes , 3-4 , Paris Saint-Germain
376 , Valenciennes , 1-0 , Rennes
377 , Valenciennes , 1-2 , Saint-Étienne
378 , Valenciennes , 3-0 , Sochaux
379 , Valenciennes , 2-0 , Toulouse
shortNames:,,Home ╲ Away,Ajaccio !ACA,Auxerre !AUX,Bordeaux !BOR,Brest !BRS,Caen !CAE,Dijon !DIJ,Evian !EVI,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Montpellier !MHS,Nancy !NAL,Nice !NIC,Paris Saint-Germain !PSG,Rennes !REN,Saint-Étienne !STE,Sochaux !SOC,Toulouse !TFC,Valenciennes !VAL
fullNames:,,Ajaccio,Auxerre,Bordeaux,Brest,Caen,Dijon,Evian,Lille,Lorient,Lyon,Marseille,Montpellier,Nancy,Nice,Paris Saint-Germain,Rennes,Saint-Étienne,Sochaux,Toulouse,Valenciennes
