189 , Mallorca , 2-0 , Zaragoza
190 , Murcia , 1-0 , Albacete
191 , Murcia , 1-3 , Athletic Bilbao
192 , Murcia , 2-2 , Atlético Madrid
193 , Murcia , 0-2 , Barcelona
194 , Murcia , 0-1 , Betis
195 , Murcia , 2-2 , Celta de Vigo
196 , Murcia , 0-0 , Deportivo La Coruña
197 , Murcia , 0-1 , Espanyol
198 , Murcia , 1-2 , Málaga
199 , Murcia , 2-0 , Mallorca
200 , Murcia , 0-1 , Osasuna
201 , Murcia , 1-1 , Racing Santander
202 , Murcia , 2-1 , Real Madrid
203 , Murcia , 2-2 , Real Sociedad
204 , Murcia , 1-3 , Sevilla
205 , Murcia , 2-2 , Valencia
206 , Murcia , 2-1 , Valladolid
207 , Murcia , 1-1 , Villarreal
208 , Murcia , 1-0 , Zaragoza
209 , Osasuna , 1-1 , Albacete
210 , Osasuna , 1-0 , Athletic Bilbao
211 , Osasuna , 1-2 , Atlético Madrid
212 , Osasuna , 1-2 , Barcelona
213 , Osasuna , 2-0 , Betis
214 , Osasuna , 3-2 , Celta de Vigo
215 , Osasuna , 3-2 , Deportivo La Coruña
216 , Osasuna , 1-3 , Espanyol
217 , Osasuna , 1-1 , Málaga
218 , Osasuna , 1-1 , Mallorca
219 , Osasuna , 2-1 , Murcia
220 , Osasuna , 1-2 , Racing Santander
221 , Osasuna , 1-1 , Real Madrid
222 , Osasuna , 1-1 , Real Sociedad
223 , Osasuna , 1-1 , Sevilla
224 , Osasuna , 0-1 , Valencia
225 , Osasuna , 1-1 , Valladolid
226 , Osasuna , 2-1 , Villarreal
227 , Osasuna , 0-1 , Zaragoza
228 , Racing Santander , 0-2 , Albacete
229 , Racing Santander , 2-2 , Athletic Bilbao
230 , Racing Santander , 1-2 , Atlético Madrid
231 , Racing Santander , 3-0 , Barcelona
232 , Racing Santander , 1-2 , Betis
233 , Racing Santander , 4-4 , Celta de Vigo
234 , Racing Santander , 0-1 , Deportivo La Coruña
235 , Racing Santander , 0-1 , Espanyol
236 , Racing Santander , 4-2 , Málaga
237 , Racing Santander , 2-1 , Mallorca
238 , Racing Santander , 3-2 , Murcia
239 , Racing Santander , 0-0 , Osasuna
240 , Racing Santander , 1-1 , Real Madrid
241 , Racing Santander , 0-1 , Real Sociedad
242 , Racing Santander , 0-4 , Sevilla
243 , Racing Santander , 0-3 , Valencia
244 , Racing Santander , 1-0 , Valladolid
245 , Racing Santander , 0-2 , Villarreal
246 , Racing Santander , 1-2 , Zaragoza
247 , Real Madrid , 2-1 , Albacete
248 , Real Madrid , 2-0 , Athletic Bilbao
249 , Real Madrid , 3-0 , Atlético Madrid
250 , Real Madrid , 1-2 , Barcelona
251 , Real Madrid , 2-1 , Betis
252 , Real Madrid , 4-2 , Celta de Vigo
253 , Real Madrid , 2-1 , Deportivo La Coruña
254 , Real Madrid , 2-1 , Espanyol
255 , Real Madrid , 2-1 , Málaga
256 , Real Madrid , 2-3 , Mallorca
257 , Real Madrid , 1-0 , Murcia
258 , Real Madrid , 0-3 , Osasuna
259 , Real Madrid , 3-1 , Racing Santander
260 , Real Madrid , 1-4 , Real Sociedad
261 , Real Madrid , 5-1 , Sevilla
262 , Real Madrid , 1-1 , Valencia
263 , Real Madrid , 7-2 , Valladolid
264 , Real Madrid , 2-1 , Villarreal
265 , Real Madrid , 1-1 , Zaragoza
266 , Real Sociedad , 0-1 , Albacete
267 , Real Sociedad , 2-1 , Athletic Bilbao
268 , Real Sociedad , 1-1 , Atlético Madrid
269 , Real Sociedad , 3-3 , Barcelona
270 , Real Sociedad , 0-4 , Betis
271 , Real Sociedad , 1-1 , Celta de Vigo
272 , Real Sociedad , 1-2 , Deportivo La Coruña
273 , Real Sociedad , 3-1 , Espanyol
274 , Real Sociedad , 1-1 , Málaga
275 , Real Sociedad , 0-1 , Mallorca
276 , Real Sociedad , 2-0 , Murcia
277 , Real Sociedad , 1-0 , Osasuna
278 , Real Sociedad , 1-0 , Racing Santander
279 , Real Sociedad , 1-0 , Real Madrid
280 , Real Sociedad , 1-1 , Sevilla
281 , Real Sociedad , 0-0 , Valencia
282 , Real Sociedad , 1-3 , Valladolid
283 , Real Sociedad , 2-2 , Villarreal
284 , Real Sociedad , 3-0 , Zaragoza
285 , Sevilla , 2-0 , Albacete
286 , Sevilla , 1-0 , Athletic Bilbao
287 , Sevilla , 2-0 , Atlético Madrid
288 , Sevilla , 0-1 , Barcelona
289 , Sevilla , 2-2 , Betis
290 , Sevilla , 0-1 , Celta de Vigo
291 , Sevilla , 1-2 , Deportivo La Coruña
292 , Sevilla , 1-0 , Espanyol
293 , Sevilla , 0-1 , Málaga
294 , Sevilla , 3-0 , Mallorca
295 , Sevilla , 1-0 , Murcia
296 , Sevilla , 1-0 , Osasuna
297 , Sevilla , 5-2 , Racing Santander
298 , Sevilla , 4-1 , Real Madrid
299 , Sevilla , 1-0 , Real Sociedad
300 , Sevilla , 0-2 , Valencia
301 , Sevilla , 1-1 , Valladolid
302 , Sevilla , 2-0 , Villarreal
303 , Sevilla , 3-2 , Zaragoza
304 , Valencia , 0-1 , Albacete
305 , Valencia , 3-0 , Athletic Bilbao
306 , Valencia , 2-1 , Atlético Madrid
307 , Valencia , 0-1 , Barcelona
308 , Valencia , 2-0 , Betis
309 , Valencia , 2-2 , Celta de Vigo
310 , Valencia , 3-0 , Deportivo La Coruña
311 , Valencia , 4-0 , Espanyol
312 , Valencia , 1-0 , Málaga
313 , Valencia , 5-1 , Mallorca
314 , Valencia , 2-0 , Murcia
315 , Valencia , 0-1 , Osasuna
316 , Valencia , 1-2 , Racing Santander
317 , Valencia , 2-0 , Real Madrid
318 , Valencia , 2-2 , Real Sociedad
319 , Valencia , 1-0 , Sevilla
320 , Valencia , 1-1 , Valladolid
321 , Valencia , 4-2 , Villarreal
322 , Valencia , 3-2 , Zaragoza
323 , Valladolid , 2-0 , Albacete
324 , Valladolid , 3-1 , Athletic Bilbao
325 , Valladolid , 2-0 , Atlético Madrid
326 , Valladolid , 1-3 , Barcelona
327 , Valladolid , 0-0 , Betis
328 , Valladolid , 0-2 , Celta de Vigo
329 , Valladolid , 1-1 , Deportivo La Coruña
330 , Valladolid , 3-1 , Espanyol
331 , Valladolid , 1-0 , Málaga
332 , Valladolid , 1-3 , Mallorca
333 , Valladolid , 0-0 , Murcia
334 , Valladolid , 1-1 , Osasuna
335 , Valladolid , 0-4 , Racing Santander
336 , Valladolid , 2-3 , Real Madrid
337 , Valladolid , 2-2 , Real Sociedad
338 , Valladolid , 2-0 , Sevilla
339 , Valladolid , 0-0 , Valencia
340 , Valladolid , 3-0 , Villarreal
341 , Valladolid , 1-2 , Zaragoza
342 , Villarreal , 2-1 , Albacete
343 , Villarreal , 0-0 , Athletic Bilbao
344 , Villarreal , 0-1 , Atlético Madrid
345 , Villarreal , 2-1 , Barcelona
346 , Villarreal , 1-0 , Betis
347 , Villarreal , 1-1 , Celta de Vigo
348 , Villarreal , 0-2 , Deportivo La Coruña
349 , Villarreal , 0-1 , Espanyol
350 , Villarreal , 2-0 , Málaga
351 , Villarreal , 0-2 , Mallorca
352 , Villarreal , 1-0 , Murcia
353 , Villarreal , 1-0 , Osasuna
354 , Villarreal , 6-3 , Racing Santander
355 , Villarreal , 1-1 , Real Madrid
356 , Villarreal , 2-0 , Real Sociedad
357 , Villarreal , 3-3 , Sevilla
358 , Villarreal , 2-1 , Valencia
359 , Villarreal , 3-1 , Valladolid
360 , Villarreal , 1-1 , Zaragoza
361 , Zaragoza , 0-1 , Albacete
362 , Zaragoza , 0-0 , Athletic Bilbao
363 , Zaragoza , 2-2 , Atlético Madrid
364 , Zaragoza , 2-1 , Barcelona
365 , Zaragoza , 0-1 , Betis
366 , Zaragoza , 1-1 , Celta de Vigo
367 , Zaragoza , 0-1 , Deportivo La Coruña
368 , Zaragoza , 1-1 , Espanyol
369 , Zaragoza , 1-0 , Málaga
370 , Zaragoza , 1-3 , Mallorca
371 , Zaragoza , 3-0 , Murcia
372 , Zaragoza , 1-0 , Osasuna
373 , Zaragoza , 2-2 , Racing Santander
374 , Zaragoza , 0-0 , Real Madrid
375 , Zaragoza , 2-1 , Real Sociedad
376 , Zaragoza , 4-4 , Sevilla
377 , Zaragoza , 0-1 , Valencia
378 , Zaragoza , 1-0 , Valladolid
379 , Zaragoza , 4-1 , Villarreal
shortNames:,,Home ╲ Away,Albacete !ALB,Athletic Bilbao !ATH,Atlético Madrid !ATM,Barcelona !BAR,Betis !BET,Celta de Vigo !CEL,Deportivo La Coruña !DEP,Espanyol !ESP,Málaga !MLG,Mallorca !MLL,Murcia !MUR,Osasuna !OSA,Racing Santander !RAC,Real Madrid !RMA,Real Sociedad !RSO,Sevilla !SEV,Valencia !VAL,Valladolid !VLD,Villarreal !VIL,Zaragoza !ZAR
fullNames:,,Albacete,Athletic Bilbao,Atlético Madrid,Barcelona,Betis,Celta de Vigo,Deportivo La Coruña,Espanyol,Málaga,Mallorca,Murcia,Osasuna,Racing Santander,Real Madrid,Real Sociedad,Sevilla,Valencia,Valladolid,Villarreal,Zaragoza
