306 , Sampdoria , 1-1 , Cagliari
307 , Sampdoria , 1-0 , Catania
308 , Sampdoria , 3-0 , Chievo
309 , Sampdoria , 1-2 , Empoli
310 , Sampdoria , 0-0 , Fiorentina
311 , Sampdoria , 0-2 , Internazionale
312 , Sampdoria , 2-0 , Lazio
313 , Sampdoria , 4-1 , Livorno
314 , Sampdoria , 3-1 , Messina
315 , Sampdoria , 1-1 , Milan
316 , Sampdoria , 1-1 , Palermo
317 , Sampdoria , 3-2 , Parma
318 , Sampdoria , 0-0 , Reggina
319 , Sampdoria , 2-4 , Roma
320 , Sampdoria , 0-0 , Siena
321 , Sampdoria , 1-0 , Torino
322 , Sampdoria , 3-3 , Udinese
323 , Siena , 0-1 , Ascoli
324 , Siena , 1-1 , Atalanta
325 , Siena , 0-0 , Cagliari
326 , Siena , 1-1 , Catania
327 , Siena , 2-1 , Chievo
328 , Siena , 2-0 , Empoli
329 , Siena , 1-1 , Fiorentina
330 , Siena , 1-2 , Internazionale
331 , Siena , 2-1 , Lazio
332 , Siena , 0-0 , Livorno
333 , Siena , 3-1 , Messina
334 , Siena , 3-4 , Milan
335 , Siena , 1-1 , Palermo
336 , Siena , 2-2 , Parma
337 , Siena , 0-1 , Reggina
338 , Siena , 1-3 , Roma
339 , Siena , 0-2 , Sampdoria
340 , Siena , 1-0 , Torino
341 , Siena , 2-2 , Udinese
342 , Torino , 1-0 , Ascoli
343 , Torino , 1-2 , Atalanta
344 , Torino , 1-0 , Cagliari
345 , Torino , 1-0 , Catania
346 , Torino , 1-0 , Chievo
347 , Torino , 1-0 , Empoli
348 , Torino , 0-1 , Fiorentina
349 , Torino , 1-3 , Internazionale
350 , Torino , 0-4 , Lazio
351 , Torino , 0-0 , Livorno
352 , Torino , 1-1 , Messina
353 , Torino , 0-1 , Milan
354 , Torino , 0-0 , Palermo
355 , Torino , 1-1 , Parma
356 , Torino , 1-2 , Reggina
357 , Torino , 1-2 , Roma
358 , Torino , 1-0 , Sampdoria
359 , Torino , 1-2 , Siena
360 , Torino , 2-3 , Udinese
361 , Udinese , 0-0 , Ascoli
362 , Udinese , 2-3 , Atalanta
363 , Udinese , 3-1 , Cagliari
364 , Udinese , 0-1 , Catania
365 , Udinese , 2-1 , Chievo
366 , Udinese , 0-1 , Empoli
367 , Udinese , 1-0 , Fiorentina
368 , Udinese , 0-0 , Internazionale
369 , Udinese , 2-4 , Lazio
370 , Udinese , 4-0 , Livorno
371 , Udinese , 1-0 , Messina
372 , Udinese , 0-3 , Milan
373 , Udinese , 1-2 , Palermo
374 , Udinese , 3-3 , Parma
375 , Udinese , 1-1 , Reggina
376 , Udinese , 0-1 , Roma
377 , Udinese , 1-0 , Sampdoria
378 , Udinese , 3-0 , Siena
379 , Udinese , 2-0 , Torino
shortNames:,,Home ╲ Away,Ascoli !ASC,Atalanta !ATA,Cagliari !CAG,Catania !CTN,Chievo !CHV,Empoli !EMP,Fiorentina !FIO,Internazionale !INT,Lazio !LAZ,Livorno !LIV,Messina !MES,Milan !MIL,Palermo !PAL,Parma !PAR,Reggina !REG,Roma !ROM,Sampdoria !SAM,Siena !SIE,Torino !TOR,Udinese !UDI
fullNames:,,Ascoli,Atalanta,Cagliari,Catania,Chievo,Empoli,Fiorentina,Internazionale,Lazio,Livorno,Messina,Milan,Palermo,Parma,Reggina,Roma,Sampdoria,Siena,Torino,Udinese
