278 , Valencia CF , 5-1 , RCD Español
279 , Valencia CF , 0-0 , Hércules CF
280 , Valencia CF , 4-0 , UD Las Palmas
281 , Valencia CF , 3-1 , CD Málaga
282 , Valencia CF , 2-1 , Rayo Vallecano
283 , Valencia CF , 2-0 , Real Madrid
284 , Valencia CF , 0-0 , Real Sociedad
285 , Valencia CF , 2-2 , UD Salamanca
286 , Valencia CF , 2-1 , Sevilla FC
287 , Valencia CF , 3-1 , Sporting de Gijón
288 , Valencia CF , 3-0 , Zaragoza
289 , Zaragoza , 0-0 , AD Almería
290 , Zaragoza , 1-0 , Athletic Bilbao
291 , Zaragoza , 0-0 , Atlético Madrid
292 , Zaragoza , 2-2 , FC Barcelona
293 , Zaragoza , 5-1 , Betis
294 , Zaragoza , 5-0 , Burgos
295 , Zaragoza , 1-1 , RCD Español
296 , Zaragoza , 1-0 , Hércules CF
297 , Zaragoza , 4-0 , UD Las Palmas
298 , Zaragoza , 3-1 , CD Málaga
299 , Zaragoza , 3-2 , Rayo Vallecano
300 , Zaragoza , 0-1 , Real Madrid
301 , Zaragoza , 0-2 , Real Sociedad
302 , Zaragoza , 1-2 , UD Salamanca
303 , Zaragoza , 1-0 , Sevilla FC
304 , Zaragoza , 1-0 , Sporting de Gijón
305 , Zaragoza , 1-1 , Valencia CF
shortNames:,,ALM,ATH,ATM,BAR,BET,BUR,ESP,HÉR,LPA,MLG,RAY,RMA,RSO,SAL,SEV,SPG,VAL,ZAR
fullNames:,,AD Almería,Athletic Bilbao,Atlético Madrid,FC Barcelona,Betis,Burgos,RCD Español,Hércules CF,UD Las Palmas,CD Málaga,Rayo Vallecano,Real Madrid,Real Sociedad,UD Salamanca,Sevilla FC,Sporting de Gijón,Valencia CF,Zaragoza
