325 , Tottenham Hotspur , 2-3 , Birmingham City
326 , Tottenham Hotspur , 1-2 , Blackburn Rovers
327 , Tottenham Hotspur , 1-1 , Bolton Wanderers
328 , Tottenham Hotspur , 4-4 , Chelsea
329 , Tottenham Hotspur , 4-0 , Derby County
330 , Tottenham Hotspur , 1-3 , Everton
331 , Tottenham Hotspur , 5-1 , Fulham
332 , Tottenham Hotspur , 0-2 , Liverpool
333 , Tottenham Hotspur , 2-1 , Manchester City
334 , Tottenham Hotspur , 1-1 , Manchester United
335 , Tottenham Hotspur , 1-1 , Middlesbrough
336 , Tottenham Hotspur , 1-4 , Newcastle United
337 , Tottenham Hotspur , 2-0 , Portsmouth
338 , Tottenham Hotspur , 6-4 , Reading
339 , Tottenham Hotspur , 2-0 , Sunderland
340 , Tottenham Hotspur , 4-0 , West Ham United
341 , Tottenham Hotspur , 4-0 , Wigan Athletic
342 , West Ham United , 0-1 , Arsenal
343 , West Ham United , 2-2 , Aston Villa
344 , West Ham United , 1-1 , Birmingham City
345 , West Ham United , 2-1 , Blackburn Rovers
346 , West Ham United , 1-1 , Bolton Wanderers
347 , West Ham United , 0-4 , Chelsea
348 , West Ham United , 2-1 , Derby County
349 , West Ham United , 0-2 , Everton
350 , West Ham United , 2-1 , Fulham
351 , West Ham United , 1-0 , Liverpool
352 , West Ham United , 0-2 , Manchester City
353 , West Ham United , 2-1 , Manchester United
354 , West Ham United , 3-0 , Middlesbrough
355 , West Ham United , 2-2 , Newcastle United
356 , West Ham United , 0-1 , Portsmouth
357 , West Ham United , 1-1 , Reading
358 , West Ham United , 3-1 , Sunderland
359 , West Ham United , 1-1 , Tottenham Hotspur
360 , West Ham United , 1-1 , Wigan Athletic
361 , Wigan Athletic , 0-0 , Arsenal
362 , Wigan Athletic , 1-2 , Aston Villa
363 , Wigan Athletic , 2-0 , Birmingham City
364 , Wigan Athletic , 5-3 , Blackburn Rovers
365 , Wigan Athletic , 1-0 , Bolton Wanderers
366 , Wigan Athletic , 0-2 , Chelsea
367 , Wigan Athletic , 2-0 , Derby County
368 , Wigan Athletic , 1-2 , Everton
369 , Wigan Athletic , 1-1 , Fulham
370 , Wigan Athletic , 0-1 , Liverpool
371 , Wigan Athletic , 1-1 , Manchester City
372 , Wigan Athletic , 0-2 , Manchester United
373 , Wigan Athletic , 1-0 , Middlesbrough
374 , Wigan Athletic , 1-0 , Newcastle United
375 , Wigan Athletic , 0-2 , Portsmouth
376 , Wigan Athletic , 0-0 , Reading
377 , Wigan Athletic , 3-0 , Sunderland
378 , Wigan Athletic , 1-1 , Tottenham Hotspur
379 , Wigan Athletic , 1-0 , West Ham United
shortNames:,,Home ╲ Away,Arsenal !ARS,Aston Villa !AST,Birmingham City !BIR,Blackburn Rovers !BLB,Bolton Wanderers !BOL,Chelsea !CHE,Derby County !DER,Everton !EVE,Fulham !FUL,Liverpool !LIV,Manchester City !MCI,Manchester United !MUN,Middlesbrough !MID,Newcastle United !NEW,Portsmouth !POR,Reading !REA,Sunderland !SUN,Tottenham Hotspur !TOT,West Ham United !WHU,Wigan Athletic !WIG
fullNames:,,Arsenal,Aston Villa,Birmingham City,Blackburn Rovers,Bolton Wanderers,Chelsea,Derby County,Everton,Fulham,Liverpool,Manchester City,Manchester United,Middlesbrough,Newcastle United,Portsmouth,Reading,Sunderland,Tottenham Hotspur,West Ham United,Wigan Athletic
