222 , Torino , 1-1 , Sampdoria
223 , Torino , 1-1 , Ternana
224 , Torino , 3-1 , Varese
225 , Varese , 3-1 , Ascoli
226 , Varese , 1-4 , Bologna
227 , Varese , 0-1 , Cagliari
228 , Varese , 1-1 , Cesena
229 , Varese , 1-1 , Fiorentina
230 , Varese , 2-0 , Internazionale
231 , Varese , 0-0 , Juventus
232 , Varese , 1-1 , L.R. Vicenza
233 , Varese , 0-1 , Lazio
234 , Varese , 0-1 , Milan
235 , Varese , 0-2 , Napoli
236 , Varese , 0-0 , Roma
237 , Varese , 4-0 , Sampdoria
238 , Varese , 1-1 , Ternana
239 , Varese , 0-0 , Torino
shortNames:,,Home ╲ Away,Ascoli !ASC,Bologna !BOL,Cagliari !CAG,Cesena !CES,Fiorentina !FIO,Internazionale !INT,Juventus !JUV,L.R. Vicenza !LRV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Roma !ROM,Sampdoria !SAM,Ternana !TER,Torino !TOR,Varese !VAR
fullNames:,,Ascoli,Bologna,Cagliari,Cesena,Fiorentina,Internazionale,Juventus,L.R. Vicenza,Lazio,Milan,Napoli,Roma,Sampdoria,Ternana,Torino,Varese
