266 , Reims , 4-1 , Ajaccio
267 , Reims , 4-2 , Bastia
268 , Reims , 1-0 , Bordeaux
269 , Reims , 1-0 , Evian
270 , Reims , 1-1 , Guingamp
271 , Reims , 2-1 , Lille
272 , Reims , 1-1 , Lorient
273 , Reims , 0-2 , Lyon
274 , Reims , 1-1 , Marseille
275 , Reims , 1-1 , Monaco
276 , Reims , 2-4 , Montpellier
277 , Reims , 0-0 , Nantes
278 , Reims , 1-0 , Nice
279 , Reims , 0-3 , Paris Saint-Germain
280 , Reims , 1-3 , Rennes
281 , Reims , 2-2 , Saint-Étienne
282 , Reims , 0-1 , Sochaux
283 , Reims , 1-2 , Toulouse
284 , Reims , 3-1 , Valenciennes
285 , Rennes , 2-0 , Ajaccio
286 , Rennes , 3-0 , Bastia
287 , Rennes , 1-1 , Bordeaux
288 , Rennes , 0-0 , Evian
289 , Rennes , 0-2 , Guingamp
290 , Rennes , 0-0 , Lille
291 , Rennes , 1-1 , Lorient
292 , Rennes , 2-0 , Lyon
293 , Rennes , 1-1 , Marseille
294 , Rennes , 0-1 , Monaco
295 , Rennes , 2-2 , Montpellier
296 , Rennes , 1-3 , Nantes
297 , Rennes , 0-0 , Nice
298 , Rennes , 1-3 , Paris Saint-Germain
299 , Rennes , 2-1 , Reims
300 , Rennes , 3-1 , Saint-Étienne
301 , Rennes , 1-2 , Sochaux
302 , Rennes , 2-3 , Toulouse
303 , Rennes , 2-2 , Valenciennes
304 , Saint-Étienne , 3-1 , Ajaccio
305 , Saint-Étienne , 2-2 , Bastia
306 , Saint-Étienne , 2-1 , Bordeaux
307 , Saint-Étienne , 1-0 , Evian
308 , Saint-Étienne , 1-0 , Guingamp
309 , Saint-Étienne , 2-0 , Lille
310 , Saint-Étienne , 3-2 , Lorient
311 , Saint-Étienne , 1-2 , Lyon
312 , Saint-Étienne , 1-1 , Marseille
313 , Saint-Étienne , 2-0 , Monaco
314 , Saint-Étienne , 2-0 , Montpellier
315 , Saint-Étienne , 2-0 , Nantes
316 , Saint-Étienne , 1-1 , Nice
317 , Saint-Étienne , 2-2 , Paris Saint-Germain
318 , Saint-Étienne , 4-0 , Reims
319 , Saint-Étienne , 0-0 , Rennes
320 , Saint-Étienne , 3-1 , Sochaux
321 , Saint-Étienne , 1-2 , Toulouse
322 , Saint-Étienne , 3-0 , Valenciennes
323 , Sochaux , 0-0 , Ajaccio
324 , Sochaux , 1-1 , Bastia
325 , Sochaux , 2-0 , Bordeaux
326 , Sochaux , 0-3 , Evian
