170 , CF Extremadura , 1-3 , FC Barcelona
171 , CF Extremadura , 0-3 , Betis
172 , CF Extremadura , 2-0 , Celta de Vigo
173 , CF Extremadura , 1-1 , SD Compostela
174 , CF Extremadura , 1-0 , Deportivo de La Coruna
175 , CF Extremadura , 3-0 , RCD Espanyol
176 , CF Extremadura , 0-0 , Hércules CF
177 , CF Extremadura , 3-0 , CD Logroñés
178 , CF Extremadura , 1-2 , Racing de Santander
179 , CF Extremadura , 1-0 , Rayo Vallecano
180 , CF Extremadura , 0-0 , Real Madrid
181 , CF Extremadura , 0-2 , Real Oviedo
182 , CF Extremadura , 1-0 , Real Sociedad
183 , CF Extremadura , 0-1 , Sevilla FC
184 , CF Extremadura , 1-2 , Sporting de Gijón
185 , CF Extremadura , 2-0 , CD Tenerife
186 , CF Extremadura , 1-0 , Valencia CF
187 , CF Extremadura , 1-1 , Valladolid
188 , CF Extremadura , 2-1 , Zaragoza
189 , Hércules CF , 3-2 , Athletic Bilbao
190 , Hércules CF , 0-2 , Atlético Madrid
191 , Hércules CF , 2-1 , FC Barcelona
192 , Hércules CF , 0-1 , Betis
193 , Hércules CF , 0-2 , Celta de Vigo
194 , Hércules CF , 1-0 , SD Compostela
195 , Hércules CF , 1-3 , Deportivo de La Coruna
196 , Hércules CF , 1-2 , RCD Espanyol
197 , Hércules CF , 2-1 , CF Extremadura
198 , Hércules CF , 1-0 , CD Logroñés
199 , Hércules CF , 0-1 , Racing de Santander
200 , Hércules CF , 1-0 , Rayo Vallecano
201 , Hércules CF , 2-3 , Real Madrid
202 , Hércules CF , 1-1 , Real Oviedo
203 , Hércules CF , 2-1 , Real Sociedad
204 , Hércules CF , 3-0 , Sevilla FC
205 , Hércules CF , 1-1 , Sporting de Gijón
206 , Hércules CF , 3-1 , CD Tenerife
207 , Hércules CF , 0-2 , Valencia CF
208 , Hércules CF , 1-0 , Valladolid
209 , Hércules CF , 1-1 , Zaragoza
210 , CD Logroñés , 1-4 , Athletic Bilbao
211 , CD Logroñés , 0-3 , Atlético Madrid
212 , CD Logroñés , 0-1 , FC Barcelona
213 , CD Logroñés , 2-1 , Betis
214 , CD Logroñés , 0-3 , Celta de Vigo
215 , CD Logroñés , 1-1 , SD Compostela
216 , CD Logroñés , 1-2 , Deportivo de La Coruna
217 , CD Logroñés , 1-0 , RCD Espanyol
218 , CD Logroñés , 0-0 , CF Extremadura
219 , CD Logroñés , 3-2 , Hércules CF
220 , CD Logroñés , 1-1 , Racing de Santander
221 , CD Logroñés , 0-2 , Rayo Vallecano
222 , CD Logroñés , 0-2 , Real Madrid
223 , CD Logroñés , 1-1 , Real Oviedo
224 , CD Logroñés , 1-0 , Real Sociedad
225 , CD Logroñés , 2-0 , Sevilla FC
226 , CD Logroñés , 0-2 , Sporting de Gijón
227 , CD Logroñés , 0-1 , CD Tenerife
228 , CD Logroñés , 2-1 , Valencia CF
229 , CD Logroñés , 0-1 , Valladolid
230 , CD Logroñés , 1-2 , Zaragoza
231 , Racing de Santander , 1-2 , Athletic Bilbao
232 , Racing de Santander , 1-1 , Atlético Madrid
233 , Racing de Santander , 1-1 , FC Barcelona
234 , Racing de Santander , 1-1 , Betis
235 , Racing de Santander , 1-0 , Celta de Vigo
236 , Racing de Santander , 2-2 , SD Compostela
237 , Racing de Santander , 1-1 , Deportivo de La Coruna
238 , Racing de Santander , 1-1 , RCD Espanyol
239 , Racing de Santander , 2-3 , CF Extremadura
240 , Racing de Santander , 1-2 , Hércules CF
241 , Racing de Santander , 2-1 , CD Logroñés
242 , Racing de Santander , 1-2 , Rayo Vallecano
243 , Racing de Santander , 2-2 , Real Madrid
244 , Racing de Santander , 1-0 , Real Oviedo
245 , Racing de Santander , 1-2 , Real Sociedad
246 , Racing de Santander , 1-4 , Sevilla FC
247 , Racing de Santander , 2-0 , Sporting de Gijón
248 , Racing de Santander , 1-2 , CD Tenerife
249 , Racing de Santander , 3-2 , Valencia CF
250 , Racing de Santander , 2-0 , Valladolid
251 , Racing de Santander , 1-2 , Zaragoza
252 , Rayo Vallecano , 1-1 , Athletic Bilbao
253 , Rayo Vallecano , 1-2 , Atlético Madrid
254 , Rayo Vallecano , 1-2 , FC Barcelona
255 , Rayo Vallecano , 0-4 , Betis
256 , Rayo Vallecano , 3-0 , Celta de Vigo
257 , Rayo Vallecano , 0-1 , SD Compostela
258 , Rayo Vallecano , 1-2 , Deportivo de La Coruna
