266 , Schalke 04 , 1-0 , 1. FC Köln
267 , Schalke 04 , 1-2 , Bayer Leverkusen
268 , Schalke 04 , 3-1 , Borussia Mönchengladbach
269 , Schalke 04 , 1-2 , Bayern Munich
270 , Schalke 04 , 1-2 , VfB Stuttgart
271 , Schalke 04 , 2-2 , VfL Wolfsburg
272 , VfB Stuttgart , 2-0 , Hertha BSC
273 , VfB Stuttgart , 0-0 , Arminia Bielefeld
274 , VfB Stuttgart , 2-0 , VfL Bochum
275 , VfB Stuttgart , 4-1 , Werder Bremen
276 , VfB Stuttgart , 1-0 , Energie Cottbus
277 , VfB Stuttgart , 2-1 , Borussia Dortmund
278 , VfB Stuttgart , 2-0 , Eintracht Frankfurt
279 , VfB Stuttgart , 1-0 , Hamburger SV
280 , VfB Stuttgart , 2-0 , Hannover 96
281 , VfB Stuttgart , 3-3 , 1899 Hoffenheim
282 , VfB Stuttgart , 3-1 , Karlsruher SC
283 , VfB Stuttgart , 1-3 , 1. FC Köln
284 , VfB Stuttgart , 0-2 , Bayer Leverkusen
285 , VfB Stuttgart , 2-0 , Borussia Mönchengladbach
286 , VfB Stuttgart , 2-2 , Bayern Munich
287 , VfB Stuttgart , 2-0 , Schalke 04
288 , VfB Stuttgart , 4-1 , VfL Wolfsburg
289 , VfL Wolfsburg , 2-1 , Hertha BSC
290 , VfL Wolfsburg , 4-1 , Arminia Bielefeld
291 , VfL Wolfsburg , 2-0 , VfL Bochum
292 , VfL Wolfsburg , 5-1 , Werder Bremen
293 , VfL Wolfsburg , 3-0 , Energie Cottbus
294 , VfL Wolfsburg , 3-0 , Borussia Dortmund
295 , VfL Wolfsburg , 2-2 , Eintracht Frankfurt
296 , VfL Wolfsburg , 3-0 , Hamburger SV
297 , VfL Wolfsburg , 2-1 , Hannover 96
298 , VfL Wolfsburg , 4-0 , 1899 Hoffenheim
299 , VfL Wolfsburg , 1-0 , Karlsruher SC
300 , VfL Wolfsburg , 2-1 , 1. FC Köln
301 , VfL Wolfsburg , 2-1 , Bayer Leverkusen
302 , VfL Wolfsburg , 3-0 , Borussia Mönchengladbach
303 , VfL Wolfsburg , 5-1 , Bayern Munich
304 , VfL Wolfsburg , 4-3 , Schalke 04
305 , VfL Wolfsburg , 4-1 , VfB Stuttgart
shortNames:,,Home ╲ Away,Hertha BSC !BSC,Arminia Bielefeld !BIE,VfL Bochum !BOC,Werder Bremen !BRE,Energie Cottbus !COT,Borussia Dortmund !DOR,Eintracht Frankfurt !FRA,Hamburger SV !HAM,Hannover 96 !H96,Hoffenheim !HOF,Karlsruher SC !KAR,Köln !KÖL,Bayer Leverkusen !LEV,Borussia Mönchengladbach !MGL,Bayern Munich !FCB,Schalke 04 !S04,Stuttgart !STU,Wolfsburg !WOL
fullNames:,,Hertha BSC,Arminia Bielefeld,VfL Bochum,Werder Bremen,Energie Cottbus,Borussia Dortmund,Eintracht Frankfurt,Hamburger SV,Hannover 96,1899 Hoffenheim,Karlsruher SC,1. FC Köln,Bayer Leverkusen,Borussia Mönchengladbach,Bayern Munich,Schalke 04,VfB Stuttgart,VfL Wolfsburg
