226 , Sampdoria , 2-4 , Internazionale
227 , Sampdoria , 3-2 , Juventus
228 , Sampdoria , 2-0 , L.R. Vicenza
229 , Sampdoria , 1-2 , Lazio
230 , Sampdoria , 0-0 , Milan
231 , Sampdoria , 0-0 , Napoli
232 , Sampdoria , 3-0 , Padova
233 , Sampdoria , 0-0 , Roma
234 , Sampdoria , 1-1 , SPAL
235 , Sampdoria , 3-0 , Torino
236 , Sampdoria , 2-0 , Triestina
237 , Sampdoria , 3-1 , Udinese
238 , SPAL , 1-1 , Alessandria
239 , SPAL , 0-1 , Bari
240 , SPAL , 0-1 , Bologna
241 , SPAL , 0-0 , Fiorentina
242 , SPAL , 1-5 , Genoa
243 , SPAL , 0-1 , Internazionale
244 , SPAL , 0-0 , Juventus
245 , SPAL , 0-0 , L.R. Vicenza
246 , SPAL , 0-3 , Lazio
247 , SPAL , 1-1 , Milan
248 , SPAL , 2-1 , Napoli
249 , SPAL , 0-2 , Padova
250 , SPAL , 1-0 , Roma
251 , SPAL , 1-2 , Sampdoria
252 , SPAL , 3-0 , Torino
253 , SPAL , 4-0 , Triestina
254 , SPAL , 0-1 , Udinese
255 , Torino , 6-1 , Alessandria
256 , Torino , 2-2 , Bari
257 , Torino , 2-2 , Bologna
258 , Torino , 0-6 , Fiorentina
259 , Torino , 0-0 , Genoa
260 , Torino , 0-5 , Internazionale
261 , Torino , 3-2 , Juventus
262 , Torino , 1-1 , L.R. Vicenza
263 , Torino , 1-0 , Lazio
264 , Torino , 3-3 , Milan
265 , Torino , 1-2 , Napoli
266 , Torino , 3-1 , Padova
267 , Torino , 2-2 , Roma
268 , Torino , 1-2 , Sampdoria
269 , Torino , 1-0 , SPAL
270 , Torino , 1-0 , Triestina
271 , Torino , 0-1 , Udinese
272 , Triestina , 2-0 , Alessandria
273 , Triestina , 0-0 , Bari
274 , Triestina , 3-2 , Bologna
275 , Triestina , 1-3 , Fiorentina
276 , Triestina , 2-1 , Genoa
277 , Triestina , 1-1 , Internazionale
278 , Triestina , 0-3 , Juventus
279 , Triestina , 0-0 , L.R. Vicenza
280 , Triestina , 3-0 , Lazio
281 , Triestina , 2-2 , Milan
282 , Triestina , 0-0 , Napoli
283 , Triestina , 2-4 , Padova
284 , Triestina , 1-0 , Roma
285 , Triestina , 1-2 , Sampdoria
286 , Triestina , 0-1 , SPAL
287 , Triestina , 1-1 , Torino
288 , Triestina , 1-1 , Udinese
289 , Udinese , 1-0 , Alessandria
290 , Udinese , 3-1 , Bari
291 , Udinese , 1-1 , Bologna
292 , Udinese , 2-0 , Fiorentina
293 , Udinese , 4-0 , Genoa
294 , Udinese , 1-3 , Internazionale
295 , Udinese , 0-4 , Juventus
296 , Udinese , 1-0 , L.R. Vicenza
297 , Udinese , 4-1 , Lazio
298 , Udinese , 2-2 , Milan
299 , Udinese , 1-1 , Napoli
300 , Udinese , 1-2 , Padova
301 , Udinese , 0-0 , Roma
302 , Udinese , 1-1 , Sampdoria
303 , Udinese , 1-2 , SPAL
304 , Udinese , 0-0 , Torino
305 , Udinese , 0-0 , Triestina
shortNames:,,Home ╲ Away,Alessandria !ALE,Bari !BAR,Bologna !BOL,Fiorentina !FIO,Genoa !GEN,Internazionale !INT,Juventus !JUV,L.R. Vicenza !LRV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Padova !PAD,Roma !ROM,Sampdoria !SAM,SPAL !SPA,Torino !TOR,Triestina !TRI,Udinese !UDI
fullNames:,,Alessandria,Bari,Bologna,Fiorentina,Genoa,Internazionale,Juventus,L.R. Vicenza,Lazio,Milan,Napoli,Padova,Roma,Sampdoria,SPAL,Torino,Triestina,Udinese
