277 , Paris Saint-Germain , 0-0 , Montpellier
278 , Paris Saint-Germain , 4-0 , Nantes
279 , Paris Saint-Germain , 4-1 , Nice
280 , Paris Saint-Germain , 4-1 , Reims
281 , Paris Saint-Germain , 4-0 , Rennes
282 , Paris Saint-Germain , 4-1 , Saint-Étienne
283 , Paris Saint-Germain , 5-0 , Toulouse
284 , Paris Saint-Germain , 4-1 , Troyes
285 , Reims , 2-1 , Angers
286 , Reims , 0-1 , Bastia
287 , Reims , 4-1 , Bordeaux
288 , Reims , 0-1 , Caen
289 , Reims , 1-2 , Gazélec Ajaccio
290 , Reims , 0-1 , Guingamp
291 , Reims , 1-0 , Lille
292 , Reims , 4-1 , Lorient
293 , Reims , 4-1 , Lyon
294 , Reims , 1-0 , Marseille
295 , Reims , 0-1 , Monaco
296 , Reims , 2-3 , Montpellier
297 , Reims , 2-1 , Nantes
298 , Reims , 1-1 , Nice
299 , Reims , 1-1 , Paris Saint-Germain
300 , Reims , 2-2 , Rennes
301 , Reims , 1-1 , Saint-Étienne
302 , Reims , 1-3 , Toulouse
303 , Reims , 1-1 , Troyes
304 , Rennes , 1-0 , Angers
305 , Rennes , 1-2 , Bastia
306 , Rennes , 2-2 , Bordeaux
307 , Rennes , 1-1 , Caen
308 , Rennes , 1-0 , Gazélec Ajaccio
309 , Rennes , 0-3 , Guingamp
310 , Rennes , 1-1 , Lille
311 , Rennes , 2-2 , Lorient
312 , Rennes , 2-2 , Lyon
313 , Rennes , 0-1 , Marseille
314 , Rennes , 1-1 , Monaco
315 , Rennes , 1-0 , Montpellier
316 , Rennes , 4-1 , Nantes
317 , Rennes , 1-4 , Nice
318 , Rennes , 0-1 , Paris Saint-Germain
319 , Rennes , 3-1 , Reims
320 , Rennes , 0-1 , Saint-Étienne
321 , Rennes , 3-1 , Toulouse
322 , Rennes , 1-1 , Troyes
323 , Saint-Étienne , 1-0 , Angers
324 , Saint-Étienne , 2-1 , Bastia
325 , Saint-Étienne , 1-1 , Bordeaux
326 , Saint-Étienne , 1-2 , Caen
327 , Saint-Étienne , 2-0 , Gazélec Ajaccio
328 , Saint-Étienne , 3-0 , Guingamp
329 , Saint-Étienne , 0-1 , Lille
330 , Saint-Étienne , 2-0 , Lorient
331 , Saint-Étienne , 1-0 , Lyon
332 , Saint-Étienne , 0-2 , Marseille
333 , Saint-Étienne , 1-1 , Monaco
334 , Saint-Étienne , 3-0 , Montpellier
335 , Saint-Étienne , 2-0 , Nantes
336 , Saint-Étienne , 1-4 , Nice
337 , Saint-Étienne , 0-2 , Paris Saint-Germain
338 , Saint-Étienne , 3-0 , Reims
339 , Saint-Étienne , 1-1 , Rennes
340 , Saint-Étienne , 0-0 , Toulouse
341 , Saint-Étienne , 1-0 , Troyes
342 , Toulouse , 1-2 , Angers
343 , Toulouse , 4-0 , Bastia
344 , Toulouse , 4-0 , Bordeaux
345 , Toulouse , 2-0 , Caen
346 , Toulouse , 1-1 , Gazélec Ajaccio
347 , Toulouse , 1-2 , Guingamp
348 , Toulouse , 1-1 , Lille
349 , Toulouse , 2-3 , Lorient
350 , Toulouse , 2-3 , Lyon
351 , Toulouse , 1-1 , Marseille
352 , Toulouse , 1-1 , Monaco
353 , Toulouse , 1-1 , Montpellier
354 , Toulouse , 0-0 , Nantes
355 , Toulouse , 2-0 , Nice
356 , Toulouse , 0-1 , Paris Saint-Germain
357 , Toulouse , 2-2 , Reims
358 , Toulouse , 1-2 , Rennes
359 , Toulouse , 2-1 , Saint-Étienne
360 , Toulouse , 1-0 , Troyes
361 , Troyes , 0-1 , Angers
362 , Troyes , 1-1 , Bastia
363 , Troyes , 2-4 , Bordeaux
364 , Troyes , 1-3 , Caen
365 , Troyes , 0-0 , Gazélec Ajaccio
366 , Troyes , 0-1 , Guingamp
367 , Troyes , 1-1 , Lille
368 , Troyes , 0-1 , Lorient
369 , Troyes , 0-1 , Lyon
370 , Troyes , 1-1 , Marseille
371 , Troyes , 0-0 , Monaco
372 , Troyes , 0-0 , Montpellier
373 , Troyes , 0-1 , Nantes
374 , Troyes , 3-3 , Nice
375 , Troyes , 0-9 , Paris Saint-Germain
376 , Troyes , 2-1 , Reims
377 , Troyes , 2-4 , Rennes
378 , Troyes , 0-1 , Saint-Étienne
379 , Troyes , 0-3 , Toulouse
shortNames:,,Home ╲ Away,Angers !ANG,Bastia !BAS,Bordeaux !BOR,Caen !CAE,Gazélec Ajaccio !GAZ,Guingamp !GUI,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Monaco !ASM,Montpellier !MHS,Nantes !NAN,Nice !NIC,Paris Saint-Germain !PSG,Reims !REI,Rennes !REN,Saint-Étienne !STE,Toulouse !TFC,Troyes !TRO
fullNames:,,Angers,Bastia,Bordeaux,Caen,Gazélec Ajaccio,Guingamp,Lille,Lorient,Lyon,Marseille,Monaco,Montpellier,Nantes,Nice,Paris Saint-Germain,Reims,Rennes,Saint-Étienne,Toulouse,Troyes
