233 , Nancy , 5-1 , Lens
234 , Nancy , 0-4 , Lille
235 , Nancy , 1-0 , Lorient
236 , Nancy , 0-2 , Lyon
237 , Nancy , 0-3 , Marseille
238 , Nancy , 4-0 , Monaco
239 , Nancy , 0-0 , Montpellier
240 , Nancy , 2-0 , Nice
241 , Nancy , 0-0 , Paris Saint-Germain
242 , Nancy , 1-2 , Rennes
243 , Nancy , 0-1 , Saint-Étienne
244 , Nancy , 2-1 , Sochaux
245 , Nancy , 0-0 , Toulouse
246 , Nancy , 1-1 , Valenciennes
247 , Nice , 0-1 , Auxerre
248 , Nice , 1-1 , Bordeaux
249 , Nice , 2-2 , Boulogne
250 , Nice , 2-1 , Grenoble
251 , Nice , 1-0 , Le Mans
252 , Nice , 0-0 , Lens
253 , Nice , 1-1 , Lille
254 , Nice , 1-0 , Lorient
255 , Nice , 4-1 , Lyon
256 , Nice , 1-3 , Marseille
257 , Nice , 1-3 , Monaco
258 , Nice , 0-3 , Montpellier
259 , Nice , 2-3 , Nancy
260 , Nice , 1-0 , Paris Saint-Germain
261 , Nice , 1-1 , Rennes
262 , Nice , 1-1 , Saint-Étienne
263 , Nice , 0-0 , Sochaux
264 , Nice , 1-0 , Toulouse
265 , Nice , 3-2 , Valenciennes
266 , Paris Saint-Germain , 1-0 , Auxerre
267 , Paris Saint-Germain , 3-1 , Bordeaux
268 , Paris Saint-Germain , 3-0 , Boulogne
269 , Paris Saint-Germain , 4-0 , Grenoble
270 , Paris Saint-Germain , 3-1 , Le Mans
271 , Paris Saint-Germain , 1-1 , Lens
272 , Paris Saint-Germain , 3-0 , Lille
273 , Paris Saint-Germain , 0-3 , Lorient
274 , Paris Saint-Germain , 1-1 , Lyon
275 , Paris Saint-Germain , 0-3 , Marseille
276 , Paris Saint-Germain , 0-1 , Monaco
277 , Paris Saint-Germain , 1-3 , Montpellier
278 , Paris Saint-Germain , 1-1 , Nancy
279 , Paris Saint-Germain , 0-1 , Nice
280 , Paris Saint-Germain , 1-1 , Rennes
281 , Paris Saint-Germain , 3-0 , Saint-Étienne
282 , Paris Saint-Germain , 4-1 , Sochaux
283 , Paris Saint-Germain , 1-0 , Toulouse
284 , Paris Saint-Germain , 2-2 , Valenciennes
285 , Rennes , 0-1 , Auxerre
286 , Rennes , 4-2 , Bordeaux
287 , Rennes , 3-0 , Boulogne
288 , Rennes , 4-0 , Grenoble
289 , Rennes , 2-1 , Le Mans
290 , Rennes , 1-1 , Lens
291 , Rennes , 1-2 , Lille
292 , Rennes , 1-0 , Lorient
293 , Rennes , 1-2 , Lyon
294 , Rennes , 1-1 , Marseille
295 , Rennes , 1-0 , Monaco
296 , Rennes , 3-0 , Montpellier
297 , Rennes , 0-0 , Nancy
298 , Rennes , 2-2 , Nice
299 , Rennes , 1-0 , Paris Saint-Germain
300 , Rennes , 1-0 , Saint-Étienne
301 , Rennes , 1-2 , Sochaux
302 , Rennes , 4-1 , Toulouse
303 , Rennes , 0-3 , Valenciennes
304 , Saint-Étienne , 1-1 , Auxerre
305 , Saint-Étienne , 3-1 , Bordeaux
306 , Saint-Étienne , 0-1 , Boulogne
307 , Saint-Étienne , 1-0 , Grenoble
308 , Saint-Étienne , 2-0 , Le Mans
309 , Saint-Étienne , 1-4 , Lens
310 , Saint-Étienne , 1-1 , Lille
311 , Saint-Étienne , 0-2 , Lorient
312 , Saint-Étienne , 0-1 , Lyon
313 , Saint-Étienne , 0-0 , Marseille
314 , Saint-Étienne , 3-0 , Monaco
315 , Saint-Étienne , 1-0 , Montpellier
316 , Saint-Étienne , 0-0 , Nancy
317 , Saint-Étienne , 0-2 , Nice
318 , Saint-Étienne , 0-0 , Paris Saint-Germain
319 , Saint-Étienne , 0-0 , Rennes
320 , Saint-Étienne , 0-0 , Sochaux
321 , Saint-Étienne , 0-1 , Toulouse
322 , Saint-Étienne , 0-2 , Valenciennes
323 , Sochaux , 1-2 , Auxerre
324 , Sochaux , 2-3 , Bordeaux
325 , Sochaux , 0-3 , Boulogne
326 , Sochaux , 1-0 , Grenoble
327 , Sochaux , 1-0 , Le Mans
328 , Sochaux , 1-2 , Lens
329 , Sochaux , 2-1 , Lille
330 , Sochaux , 1-0 , Lorient
331 , Sochaux , 0-4 , Lyon
332 , Sochaux , 0-1 , Marseille
333 , Sochaux , 1-0 , Monaco
334 , Sochaux , 0-1 , Montpellier
335 , Sochaux , 1-1 , Nancy
336 , Sochaux , 1-0 , Nice
337 , Sochaux , 1-4 , Paris Saint-Germain
338 , Sochaux , 2-0 , Rennes
339 , Sochaux , 0-2 , Saint-Étienne
340 , Sochaux , 1-0 , Toulouse
341 , Sochaux , 2-5 , Valenciennes
342 , Toulouse , 0-3 , Auxerre
343 , Toulouse , 1-2 , Bordeaux
344 , Toulouse , 1-0 , Boulogne
345 , Toulouse , 4-0 , Grenoble
346 , Toulouse , 2-0 , Le Mans
347 , Toulouse , 1-0 , Lens
348 , Toulouse , 0-2 , Lille
349 , Toulouse , 0-1 , Lorient
350 , Toulouse , 0-0 , Lyon
351 , Toulouse , 1-1 , Marseille
352 , Toulouse , 0-0 , Monaco
353 , Toulouse , 0-1 , Montpellier
354 , Toulouse , 0-0 , Nancy
355 , Toulouse , 0-2 , Nice
356 , Toulouse , 1-0 , Paris Saint-Germain
357 , Toulouse , 3-2 , Rennes
358 , Toulouse , 3-1 , Saint-Étienne
359 , Toulouse , 2-0 , Sochaux
360 , Toulouse , 0-1 , Valenciennes
361 , Valenciennes , 0-0 , Auxerre
362 , Valenciennes , 2-0 , Bordeaux
363 , Valenciennes , 1-1 , Boulogne
364 , Valenciennes , 2-0 , Grenoble
365 , Valenciennes , 0-1 , Le Mans
366 , Valenciennes , 0-0 , Lens
367 , Valenciennes , 1-0 , Lille
368 , Valenciennes , 0-0 , Lorient
369 , Valenciennes , 2-2 , Lyon
370 , Valenciennes , 3-2 , Marseille
371 , Valenciennes , 3-1 , Monaco
372 , Valenciennes , 1-1 , Montpellier
373 , Valenciennes , 1-3 , Nancy
374 , Valenciennes , 2-1 , Nice
375 , Valenciennes , 2-3 , Paris Saint-Germain
376 , Valenciennes , 0-2 , Rennes
377 , Valenciennes , 1-0 , Saint-Étienne
378 , Valenciennes , 1-1 , Sochaux
379 , Valenciennes , 1-3 , Toulouse
shortNames:,,Home ╲ Away,Auxerre !AUX,Bordeaux !BOR,Boulogne !BOU,Grenoble !GRE,Le Mans !MFC,Lens !RCL,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Monaco !ASM,Montpellier !MHS,Nancy !NAL,Nice !NIC,Paris Saint-Germain !PSG,Rennes !REN,Saint-Étienne !STE,Sochaux !SOC,Toulouse !TFC,Valenciennes !VAL
fullNames:,,Auxerre,Bordeaux,Boulogne,Grenoble,Le Mans,Lens,Lille,Lorient,Lyon,Marseille,Monaco,Montpellier,Nancy,Nice,Paris Saint-Germain,Rennes,Saint-Étienne,Sochaux,Toulouse,Valenciennes
