291 , Zaragoza , 2-1 , FC Barcelona
292 , Zaragoza , 2-1 , Betis
293 , Zaragoza , 4-2 , Celta de Vigo
294 , Zaragoza , 3-3 , Elche CF
295 , Zaragoza , 1-0 , RCD Español
296 , Zaragoza , 4-1 , Granada CF
297 , Zaragoza , 2-2 , Hércules CF
298 , Zaragoza , 3-1 , UD Las Palmas
299 , Zaragoza , 1-0 , CD Málaga
300 , Zaragoza , 5-0 , Murcia
301 , Zaragoza , 3-1 , Real Gijón
302 , Zaragoza , 6-1 , Real Madrid
303 , Zaragoza , 1-1 , Real Sociedad
304 , Zaragoza , 1-1 , UD Salamanca
305 , Zaragoza , 3-1 , Valencia CF
shortNames:,,ATB,ATM,BAR,BET,CEL,ELC,ESP,GRA,HÉR,LPA,MLG,MUR,RGI,RMA,RSO,SAL,VAL,ZAR
fullNames:,,Atlético Bilbao,Atlético Madrid,FC Barcelona,Betis,Celta de Vigo,Elche CF,RCD Español,Granada CF,Hércules CF,UD Las Palmas,CD Málaga,Murcia,Real Gijón,Real Madrid,Real Sociedad,UD Salamanca,Valencia CF,Zaragoza
