229 , Real Sociedad , 0-0 , Hércules CF
230 , Real Sociedad , 4-1 , UD Las Palmas
231 , Real Sociedad , 2-0 , Racing de Santander
232 , Real Sociedad , 1-1 , Rayo Vallecano
233 , Real Sociedad , 2-3 , Real Madrid
234 , Real Sociedad , 2-0 , UD Salamanca
235 , Real Sociedad , 4-0 , Sevilla FC
236 , Real Sociedad , 1-1 , Sporting de Gijón
237 , Real Sociedad , 1-1 , Valencia CF
238 , UD Salamanca , 0-3 , Athletic Bilbao
239 , UD Salamanca , 0-1 , Atlético Madrid
240 , UD Salamanca , 1-0 , FC Barcelona
241 , UD Salamanca , 1-0 , Betis
242 , UD Salamanca , 2-0 , Burgos
243 , UD Salamanca , 2-1 , Cádiz CF
244 , UD Salamanca , 1-0 , Elche CF
245 , UD Salamanca , 1-0 , RCD Español
246 , UD Salamanca , 2-0 , Hércules CF
247 , UD Salamanca , 0-0 , UD Las Palmas
248 , UD Salamanca , 3-0 , Racing de Santander
249 , UD Salamanca , 1-0 , Rayo Vallecano
250 , UD Salamanca , 2-1 , Real Madrid
251 , UD Salamanca , 0-0 , Real Sociedad
252 , UD Salamanca , 1-1 , Sevilla FC
253 , UD Salamanca , 2-3 , Sporting de Gijón
254 , UD Salamanca , 0-1 , Valencia CF
255 , Sevilla FC , 0-0 , Athletic Bilbao
256 , Sevilla FC , 3-0 , Atlético Madrid
257 , Sevilla FC , 2-1 , FC Barcelona
258 , Sevilla FC , 1-0 , Betis
259 , Sevilla FC , 1-0 , Burgos
260 , Sevilla FC , 1-0 , Cádiz CF
261 , Sevilla FC , 3-3 , Elche CF
262 , Sevilla FC , 3-1 , RCD Español
263 , Sevilla FC , 2-1 , Hércules CF
264 , Sevilla FC , 1-0 , UD Las Palmas
265 , Sevilla FC , 1-0 , Racing de Santander
266 , Sevilla FC , 2-0 , Rayo Vallecano
267 , Sevilla FC , 1-1 , Real Madrid
268 , Sevilla FC , 1-1 , Real Sociedad
269 , Sevilla FC , 2-1 , UD Salamanca
270 , Sevilla FC , 1-2 , Sporting de Gijón
271 , Sevilla FC , 1-0 , Valencia CF
272 , Sporting de Gijón , 2-2 , Athletic Bilbao
273 , Sporting de Gijón , 3-2 , Atlético Madrid
274 , Sporting de Gijón , 1-0 , FC Barcelona
275 , Sporting de Gijón , 4-3 , Betis
276 , Sporting de Gijón , 3-2 , Burgos
277 , Sporting de Gijón , 3-0 , Cádiz CF
278 , Sporting de Gijón , 3-0 , Elche CF
279 , Sporting de Gijón , 1-0 , RCD Español
280 , Sporting de Gijón , 2-1 , Hércules CF
281 , Sporting de Gijón , 0-0 , UD Las Palmas
282 , Sporting de Gijón , 3-1 , Racing de Santander
283 , Sporting de Gijón , 1-1 , Rayo Vallecano
284 , Sporting de Gijón , 0-2 , Real Madrid
285 , Sporting de Gijón , 6-2 , Real Sociedad
286 , Sporting de Gijón , 3-0 , UD Salamanca
287 , Sporting de Gijón , 1-0 , Sevilla FC
288 , Sporting de Gijón , 0-0 , Valencia CF
289 , Valencia CF , 3-1 , Athletic Bilbao
290 , Valencia CF , 1-1 , Atlético Madrid
291 , Valencia CF , 1-0 , FC Barcelona
292 , Valencia CF , 4-2 , Betis
293 , Valencia CF , 1-0 , Burgos
294 , Valencia CF , 3-0 , Cádiz CF
295 , Valencia CF , 4-1 , Elche CF
296 , Valencia CF , 3-0 , RCD Español
297 , Valencia CF , 6-1 , Hércules CF
298 , Valencia CF , 0-1 , UD Las Palmas
299 , Valencia CF , 0-0 , Racing de Santander
300 , Valencia CF , 7-0 , Rayo Vallecano
301 , Valencia CF , 2-0 , Real Madrid
302 , Valencia CF , 0-1 , Real Sociedad
303 , Valencia CF , 3-1 , UD Salamanca
304 , Valencia CF , 3-0 , Sevilla FC
305 , Valencia CF , 1-0 , Sporting de Gijón
shortNames:,,ATH,ATM,BAR,BET,BUR,CÁD,ELC,ESP,HÉR,LPA,RAC,RAY,RMA,RSO,SAL,SEV,SPG,VAL
fullNames:,,Athletic Bilbao,Atlético Madrid,FC Barcelona,Betis,Burgos,Cádiz CF,Elche CF,RCD Español,Hércules CF,UD Las Palmas,Racing de Santander,Rayo Vallecano,Real Madrid,Real Sociedad,UD Salamanca,Sevilla FC,Sporting de Gijón,Valencia CF
