220 , Nancy , 1-3 , Nantes
221 , Nancy , 3-0 , Nice
222 , Nancy , 1-0 , PSG
223 , Nancy , 0-0 , Rennes
224 , Nancy , 3-0 , Sochaux
225 , Nancy , 1-1 , Strasbourg
226 , Nancy , 5-3 , Toulon
227 , Nancy , 0-1 , Toulouse
228 , Nantes , 2-1 , Auxerre
229 , Nantes , 2-0 , Bastia
230 , Nantes , 0-0 , Bordeaux
231 , Nantes , 3-1 , Brest
232 , Nantes , 1-0 , Laval
233 , Nantes , 2-1 , Le Havre
234 , Nantes , 4-0 , Lens
235 , Nantes , 5-1 , Lille
236 , Nantes , 0-2 , Marseille
237 , Nantes , 1-0 , Metz
238 , Nantes , 1-1 , AS Monaco
239 , Nantes , 2-0 , Nancy
240 , Nantes , 1-1 , Nice
241 , Nantes , 2-0 , PSG
242 , Nantes , 1-0 , Rennes
243 , Nantes , 3-2 , Sochaux
244 , Nantes , 2-0 , Strasbourg
245 , Nantes , 1-1 , Toulon
246 , Nantes , 1-0 , Toulouse
247 , Nice , 1-1 , Auxerre
248 , Nice , 1-0 , Bastia
249 , Nice , 1-1 , Bordeaux
250 , Nice , 2-2 , Brest
251 , Nice , 0-0 , Laval
252 , Nice , 0-3 , Le Havre
253 , Nice , 1-1 , Lens
254 , Nice , 0-0 , Lille
255 , Nice , 1-0 , Marseille
256 , Nice , 2-0 , Metz
257 , Nice , 1-0 , AS Monaco
258 , Nice , 3-1 , Nancy
259 , Nice , 0-0 , Nantes
260 , Nice , 0-0 , PSG
261 , Nice , 2-1 , Rennes
262 , Nice , 2-0 , Sochaux
263 , Nice , 5-1 , Strasbourg
264 , Nice , 2-1 , Toulon
265 , Nice , 3-1 , Toulouse
266 , PSG , 4-0 , Auxerre
267 , PSG , 3-1 , Bastia
268 , PSG , 1-0 , Bordeaux
269 , PSG , 2-0 , Brest
270 , PSG , 5-1 , Laval
271 , PSG , 1-0 , Le Havre
272 , PSG , 2-2 , Lens
273 , PSG , 3-0 , Lille
274 , PSG , 2-0 , Marseille
275 , PSG , 2-1 , Metz
276 , PSG , 1-0 , AS Monaco
277 , PSG , 2-0 , Nancy
278 , PSG , 2-1 , Nantes
279 , PSG , 3-2 , Nice
280 , PSG , 1-0 , Rennes
281 , PSG , 4-1 , Sochaux
282 , PSG , 1-1 , Strasbourg
283 , PSG , 1-0 , Toulon
284 , PSG , 3-0 , Toulouse
285 , Rennes , 4-1 , Auxerre
286 , Rennes , 3-1 , Bastia
287 , Rennes , 0-0 , Bordeaux
288 , Rennes , 0-4 , Brest
289 , Rennes , 1-0 , Laval
290 , Rennes , 2-1 , Le Havre
291 , Rennes , 2-0 , Lens
292 , Rennes , 2-0 , Lille
293 , Rennes , 1-2 , Marseille
294 , Rennes , 0-0 , Metz
295 , Rennes , 0-1 , AS Monaco
296 , Rennes , 1-0 , Nancy
297 , Rennes , 0-0 , Nantes
298 , Rennes , 2-0 , Nice
299 , Rennes , 2-3 , PSG
300 , Rennes , 0-0 , Sochaux
301 , Rennes , 1-1 , Strasbourg
302 , Rennes , 1-0 , Toulon
303 , Rennes , 2-1 , Toulouse
304 , Sochaux , 2-0 , Auxerre
305 , Sochaux , 2-0 , Bastia
306 , Sochaux , 2-1 , Bordeaux
307 , Sochaux , 4-2 , Brest
308 , Sochaux , 1-0 , Laval
309 , Sochaux , 1-1 , Le Havre
310 , Sochaux , 1-3 , Lens
311 , Sochaux , 3-1 , Lille
312 , Sochaux , 1-1 , Marseille
313 , Sochaux , 1-2 , Metz
314 , Sochaux , 1-1 , AS Monaco
315 , Sochaux , 1-1 , Nancy
316 , Sochaux , 1-1 , Nantes
317 , Sochaux , 2-0 , Nice
318 , Sochaux , 1-1 , PSG
319 , Sochaux , 0-0 , Rennes
320 , Sochaux , 3-1 , Strasbourg
321 , Sochaux , 1-0 , Toulon
322 , Sochaux , 4-1 , Toulouse
323 , Strasbourg , 1-3 , Auxerre
324 , Strasbourg , 6-1 , Bastia
325 , Strasbourg , 3-2 , Bordeaux
326 , Strasbourg , 0-1 , Brest
327 , Strasbourg , 2-1 , Laval
328 , Strasbourg , 2-1 , Le Havre
329 , Strasbourg , 0-0 , Lens
330 , Strasbourg , 2-1 , Lille
331 , Strasbourg , 0-0 , Marseille
332 , Strasbourg , 0-0 , Metz
333 , Strasbourg , 1-1 , AS Monaco
334 , Strasbourg , 1-0 , Nancy
335 , Strasbourg , 1-2 , Nantes
336 , Strasbourg , 2-0 , Nice
337 , Strasbourg , 1-0 , PSG
338 , Strasbourg , 1-1 , Rennes
339 , Strasbourg , 3-0 , Sochaux
340 , Strasbourg , 1-1 , Toulon
341 , Strasbourg , 0-3 , Toulouse
342 , Toulon , 0-1 , Auxerre
343 , Toulon , 1-1 , Bastia
344 , Toulon , 1-1 , Bordeaux
345 , Toulon , 2-3 , Brest
346 , Toulon , 3-0 , Laval
347 , Toulon , 1-0 , Le Havre
348 , Toulon , 0-0 , Lens
349 , Toulon , 1-1 , Lille
350 , Toulon , 0-0 , Marseille
351 , Toulon , 2-1 , Metz
352 , Toulon , 1-1 , AS Monaco
353 , Toulon , 1-0 , Nancy
354 , Toulon , 0-0 , Nantes
355 , Toulon , 4-0 , Nice
356 , Toulon , 1-1 , PSG
357 , Toulon , 1-1 , Rennes
358 , Toulon , 2-2 , Sochaux
359 , Toulon , 1-0 , Strasbourg
360 , Toulon , 1-1 , Toulouse
361 , Toulouse , 2-0 , Auxerre
362 , Toulouse , 3-1 , Bastia
363 , Toulouse , 1-2 , Bordeaux
364 , Toulouse , 2-0 , Brest
365 , Toulouse , 2-0 , Laval
366 , Toulouse , 1-0 , Le Havre
367 , Toulouse , 1-1 , Lens
368 , Toulouse , 1-0 , Lille
369 , Toulouse , 1-0 , Marseille
370 , Toulouse , 2-0 , Metz
371 , Toulouse , 2-1 , AS Monaco
372 , Toulouse , 4-1 , Nancy
373 , Toulouse , 4-2 , Nantes
374 , Toulouse , 0-0 , Nice
375 , Toulouse , 1-3 , PSG
376 , Toulouse , 4-1 , Rennes
377 , Toulouse , 3-0 , Sochaux
378 , Toulouse , 3-0 , Strasbourg
379 , Toulouse , 4-0 , Toulon
shortNames:,,Home\Away,Aux,Bas,Bor,Bre,Lav,LeH,Lens,Lille,Mar,Met,Mon,Nanc,Nant,Nic,PSG,Ren,Soc,Str,Tln,Tls
fullNames:,,Auxerre,Bastia,Bordeaux,Brest,Laval,Le Havre,Lens,Lille,Marseille,Metz,AS Monaco,Nancy,Nantes,Nice,PSG,Rennes,Sochaux,Strasbourg,Toulon,Toulouse
