0 , Atlético Bilbao , 6-1 , Atlético Madrid
109 , UD Las Palmas , 4-1 , Córdoba CF
110 , UD Las Palmas , 3-1 , Elche CF
111 , UD Las Palmas , 2-0 , RCD Español
112 , UD Las Palmas , 1-1 , CD Málaga
113 , UD Las Palmas , 5-0 , Pontevedra CF
114 , UD Las Palmas , 2-2 , Real Madrid
115 , UD Las Palmas , 2-1 , Real Sociedad
116 , UD Las Palmas , 1-0 , CE Sabadell FC
117 , UD Las Palmas , 4-1 , Sevilla CF
118 , UD Las Palmas , 2-1 , Valencia CF
119 , UD Las Palmas , 2-1 , Zaragoza
120 , CD Málaga , 2-2 , Atlético Bilbao
121 , CD Málaga , 0-1 , Atlético Madrid
122 , CD Málaga , 1-1 , CF Barcelona
123 , CD Málaga , 0-0 , Betis
124 , CD Málaga , 0-1 , Córdoba CF
125 , CD Málaga , 2-0 , Elche CF
126 , CD Málaga , 1-0 , RCD Español
127 , CD Málaga , 2-0 , UD Las Palmas
128 , CD Málaga , 3-1 , Pontevedra CF
129 , CD Málaga , 1-0 , Real Madrid
130 , CD Málaga , 2-0 , Real Sociedad
131 , CD Málaga , 1-3 , CE Sabadell FC
132 , CD Málaga , 0-0 , Sevilla CF
133 , CD Málaga , 0-0 , Valencia CF
134 , CD Málaga , 2-2 , Zaragoza
135 , Pontevedra CF , 1-1 , Atlético Bilbao
136 , Pontevedra CF , 1-1 , Atlético Madrid
137 , Pontevedra CF , 1-0 , CF Barcelona
138 , Pontevedra CF , 1-1 , Betis
139 , Pontevedra CF , 3-1 , Córdoba CF
140 , Pontevedra CF , 1-0 , Elche CF
141 , Pontevedra CF , 3-0 , RCD Español
142 , Pontevedra CF , 3-0 , UD Las Palmas
143 , Pontevedra CF , 1-0 , CD Málaga
144 , Pontevedra CF , 3-0 , Real Madrid
145 , Pontevedra CF , 2-0 , Real Sociedad
146 , Pontevedra CF , 0-0 , CE Sabadell FC
147 , Pontevedra CF , 4-1 , Sevilla CF
148 , Pontevedra CF , 1-0 , Valencia CF
149 , Pontevedra CF , 1-0 , Zaragoza
150 , Real Madrid , 0-0 , Atlético Bilbao
151 , Real Madrid , 0-0 , Atlético Madrid
152 , Real Madrid , 1-1 , CF Barcelona
153 , Real Madrid , 3-0 , Betis
154 , Real Madrid , 4-0 , Córdoba CF
155 , Real Madrid , 2-0 , Elche CF
156 , Real Madrid , 2-2 , RCD Español
157 , Real Madrid , 2-1 , UD Las Palmas
158 , Real Madrid , 3-0 , CD Málaga
159 , Real Madrid , 1-0 , Pontevedra CF
160 , Real Madrid , 9-1 , Real Sociedad
161 , Real Madrid , 2-0 , CE Sabadell FC
162 , Real Madrid , 1-0 , Sevilla CF
163 , Real Madrid , 0-2 , Valencia CF
164 , Real Madrid , 3-2 , Zaragoza
165 , Real Sociedad , 1-1 , Atlético Bilbao
166 , Real Sociedad , 2-0 , Atlético Madrid
167 , Real Sociedad , 1-1 , CF Barcelona
168 , Real Sociedad , 1-0 , Betis
169 , Real Sociedad , 5-1 , Córdoba CF
170 , Real Sociedad , 5-0 , Elche CF
171 , Real Sociedad , 0-1 , RCD Español
172 , Real Sociedad , 0-1 , UD Las Palmas
173 , Real Sociedad , 0-0 , CD Málaga
174 , Real Sociedad , 1-0 , Pontevedra CF
175 , Real Sociedad , 0-1 , Real Madrid
176 , Real Sociedad , 6-0 , CE Sabadell FC
177 , Real Sociedad , 5-1 , Sevilla CF
178 , Real Sociedad , 2-0 , Valencia CF
179 , Real Sociedad , 2-0 , Zaragoza
180 , CE Sabadell FC , 1-2 , Atlético Bilbao
181 , CE Sabadell FC , 1-0 , Atlético Madrid
182 , CE Sabadell FC , 1-1 , CF Barcelona
183 , CE Sabadell FC , 3-1 , Betis
184 , CE Sabadell FC , 2-1 , Córdoba CF
185 , CE Sabadell FC , 1-2 , Elche CF
186 , CE Sabadell FC , 2-1 , RCD Español
187 , CE Sabadell FC , 2-2 , UD Las Palmas
188 , CE Sabadell FC , 1-2 , CD Málaga
189 , CE Sabadell FC , 1-0 , Pontevedra CF
190 , CE Sabadell FC , 2-4 , Real Madrid
191 , CE Sabadell FC , 1-0 , Real Sociedad
192 , CE Sabadell FC , 2-2 , Sevilla CF
193 , CE Sabadell FC , 2-0 , Valencia CF
194 , CE Sabadell FC , 1-0 , Zaragoza
195 , Sevilla CF , 2-3 , Atlético Bilbao
196 , Sevilla CF , 0-2 , Atlético Madrid
197 , Sevilla CF , 2-1 , CF Barcelona
198 , Sevilla CF , 2-3 , Betis
199 , Sevilla CF , 1-0 , Córdoba CF
200 , Sevilla CF , 1-0 , Elche CF
201 , Sevilla CF , 3-0 , RCD Español
202 , Sevilla CF , 0-1 , UD Las Palmas
203 , Sevilla CF , 0-2 , CD Málaga
204 , Sevilla CF , 2-2 , Pontevedra CF
205 , Sevilla CF , 0-2 , Real Madrid
206 , Sevilla CF , 0-0 , Real Sociedad
207 , Sevilla CF , 1-0 , CE Sabadell FC
208 , Sevilla CF , 2-0 , Valencia CF
209 , Sevilla CF , 1-2 , Zaragoza
210 , Valencia CF , 3-3 , Atlético Bilbao
211 , Valencia CF , 3-1 , Atlético Madrid
212 , Valencia CF , 1-2 , CF Barcelona
213 , Valencia CF , 2-1 , Betis
214 , Valencia CF , 5-0 , Córdoba CF
215 , Valencia CF , 1-1 , Elche CF
216 , Valencia CF , 2-3 , RCD Español
217 , Valencia CF , 2-2 , UD Las Palmas
218 , Valencia CF , 2-1 , CD Málaga
219 , Valencia CF , 6-2 , Pontevedra CF
220 , Valencia CF , 2-0 , Real Madrid
221 , Valencia CF , 3-2 , Real Sociedad
222 , Valencia CF , 1-0 , CE Sabadell FC
223 , Valencia CF , 4-2 , Sevilla CF
224 , Valencia CF , 3-1 , Zaragoza
225 , Zaragoza , 1-0 , Atlético Bilbao
226 , Zaragoza , 1-1 , Atlético Madrid
227 , Zaragoza , 3-2 , CF Barcelona
228 , Zaragoza , 1-0 , Betis
229 , Zaragoza , 3-0 , Córdoba CF
230 , Zaragoza , 3-1 , Elche CF
231 , Zaragoza , 4-2 , RCD Español
232 , Zaragoza , 4-1 , UD Las Palmas
233 , Zaragoza , 0-0 , CD Málaga
234 , Zaragoza , 2-1 , Pontevedra CF
235 , Zaragoza , 0-0 , Real Madrid
236 , Zaragoza , 1-0 , Real Sociedad
237 , Zaragoza , 7-0 , CE Sabadell FC
238 , Zaragoza , 1-1 , Sevilla CF
239 , Zaragoza , 0-0 , Valencia CF
shortNames:,,AtB,AtM,Bar,Bet,Cór,Elc,Esp,LPa,Mál,Pon,RMa,RSo,Sab,Sev,Val,Zar
fullNames:,,Atlético Bilbao,Atlético Madrid,CF Barcelona,Betis,Córdoba CF,Elche CF,RCD Español,UD Las Palmas,CD Málaga,Pontevedra CF,Real Madrid,Real Sociedad,CE Sabadell FC,Sevilla CF,Valencia CF,Zaragoza
