298 , Roma , 4-1 , Parma
299 , Roma , 3-1 , Reggina
300 , Roma , 0-0 , Sampdoria
301 , Roma , 2-3 , Siena
302 , Roma , 1-0 , Treviso
303 , Roma , 0-1 , Udinese
304 , Sampdoria , 1-2 , Ascoli
305 , Sampdoria , 1-1 , Cagliari
306 , Sampdoria , 1-2 , Chievo
307 , Sampdoria , 2-0 , Empoli
308 , Sampdoria , 3-1 , Fiorentina
309 , Sampdoria , 2-2 , Internazionale
310 , Sampdoria , 0-1 , Juventus
311 , Sampdoria , 2-0 , Lazio
312 , Sampdoria , 1-3 , Lecce
313 , Sampdoria , 0-2 , Livorno
314 , Sampdoria , 4-2 , Messina
315 , Sampdoria , 2-1 , Milan
316 , Sampdoria , 0-2 , Palermo
317 , Sampdoria , 1-2 , Parma
318 , Sampdoria , 3-2 , Reggina
319 , Sampdoria , 1-1 , Roma
320 , Sampdoria , 3-3 , Siena
321 , Sampdoria , 1-1 , Treviso
322 , Sampdoria , 1-1 , Udinese
323 , Siena , 1-1 , Ascoli
324 , Siena , 2-1 , Cagliari
325 , Siena , 0-1 , Chievo
326 , Siena , 1-0 , Empoli
327 , Siena , 0-2 , Fiorentina
328 , Siena , 0-0 , Internazionale
329 , Siena , 0-3 , Juventus
330 , Siena , 2-3 , Lazio
331 , Siena , 1-2 , Lecce
332 , Siena , 0-0 , Livorno
333 , Siena , 4-2 , Messina
334 , Siena , 0-3 , Milan
335 , Siena , 1-2 , Palermo
336 , Siena , 2-2 , Parma
337 , Siena , 0-0 , Reggina
338 , Siena , 0-2 , Roma
339 , Siena , 1-0 , Sampdoria
340 , Siena , 1-0 , Treviso
341 , Siena , 2-3 , Udinese
342 , Treviso , 2-2 , Ascoli
343 , Treviso , 1-2 , Cagliari
344 , Treviso , 1-2 , Chievo
345 , Treviso , 1-2 , Empoli
346 , Treviso , 1-3 , Fiorentina
347 , Treviso , 0-1 , Internazionale
348 , Treviso , 0-0 , Juventus
349 , Treviso , 0-1 , Lazio
350 , Treviso , 2-1 , Lecce
351 , Treviso , 0-1 , Livorno
352 , Treviso , 0-0 , Messina
353 , Treviso , 0-2 , Milan
354 , Treviso , 2-2 , Palermo
355 , Treviso , 0-1 , Parma
356 , Treviso , 0-1 , Reggina
357 , Treviso , 0-1 , Roma
358 , Treviso , 0-2 , Sampdoria
359 , Treviso , 0-1 , Siena
360 , Treviso , 2-1 , Udinese
361 , Udinese , 1-1 , Ascoli
362 , Udinese , 2-0 , Cagliari
363 , Udinese , 1-1 , Chievo
364 , Udinese , 1-0 , Empoli
365 , Udinese , 0-0 , Fiorentina
366 , Udinese , 0-1 , Internazionale
367 , Udinese , 0-1 , Juventus
368 , Udinese , 3-0 , Lazio
369 , Udinese , 1-2 , Lecce
370 , Udinese , 0-2 , Livorno
371 , Udinese , 1-0 , Messina
372 , Udinese , 0-4 , Milan
373 , Udinese , 0-0 , Palermo
374 , Udinese , 2-0 , Parma
375 , Udinese , 1-2 , Reggina
376 , Udinese , 1-4 , Roma
377 , Udinese , 2-0 , Sampdoria
378 , Udinese , 1-2 , Siena
379 , Udinese , 2-2 , Treviso
shortNames:,,Home ╲ Away,Ascoli !ASC,Cagliari !CAG,Chievo !CHV,Empoli !EMP,Fiorentina !FIO,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Lecce !LCE,Livorno !LIV,Messina !MES,Milan !MIL,Palermo !PAL,Parma !PAR,Reggina !REG,Roma !ROM,Sampdoria !SAM,Siena !SIE,Treviso !TRV,Udinese !UDI
fullNames:,,Ascoli,Cagliari,Chievo,Empoli,Fiorentina,Internazionale,Juventus,Lazio,Lecce,Livorno,Messina,Milan,Palermo,Parma,Reggina,Roma,Sampdoria,Siena,Treviso,Udinese
