252 , FCB , 0-1 , NUR
253 , FCB , 5-0 , S04
254 , FCB , 1-1 , STU
255 , NUR , 0-4 , BRS
256 , NUR , 2-1 , BRE
257 , NUR , 2-0 , DOR
258 , NUR , 3-1 , DUI
259 , NUR , 4-2 , DÜS
260 , NUR , 1-1 , RWE
261 , NUR , 0-1 , FRA
262 , NUR , 1-0 , HAM
263 , NUR , 1-1 , H96
264 , NUR , 1-2 , KAI
265 , NUR , 2-2 , KAR
266 , NUR , 1-1 , KÖL
267 , NUR , 1-0 , MGL
268 , NUR , 2-2 , M60
269 , NUR , 0-1 , FCB
270 , NUR , 0-4 , S04
271 , NUR , 3-3 , STU
272 , S04 , 0-0 , BRS
273 , S04 , 0-1 , BRE
274 , S04 , 1-4 , DOR
275 , S04 , 2-1 , DUI
276 , S04 , 2-1 , DÜS
277 , S04 , 1-1 , RWE
278 , S04 , 1-1 , FRA
279 , S04 , 2-0 , HAM
280 , S04 , 2-1 , H96
281 , S04 , 0-3 , KAI
282 , S04 , 1-3 , KAR
283 , S04 , 1-0 , KÖL
284 , S04 , 0-0 , MGL
285 , S04 , 1-0 , M60
286 , S04 , 2-1 , FCB
287 , S04 , 1-0 , NUR
288 , S04 , 2-0 , STU
289 , STU , 1-2 , BRS
290 , STU , 1-1 , BRE
291 , STU , 1-0 , DOR
292 , STU , 1-3 , DUI
293 , STU , 3-1 , DÜS
294 , STU , 1-0 , RWE
295 , STU , 3-0 , FRA
296 , STU , 1-3 , HAM
297 , STU , 1-2 , H96
298 , STU , 0-1 , KAI
299 , STU , 2-0 , KAR
300 , STU , 2-2 , KÖL
301 , STU , 0-2 , MGL
302 , STU , 2-0 , M60
303 , STU , 2-4 , FCB
304 , STU , 1-0 , NUR
305 , STU , 1-1 , S04
