321 , SAM , 2-2 , TOR
322 , SAM , 3-0 , UDI
323 , SIE , 1-1 , ATA
324 , SIE , 1-0 , CAG
325 , SIE , 1-1 , CTN
326 , SIE , 3-0 , EMP
327 , SIE , 1-0 , FIO
328 , SIE , 0-1 , GEN
329 , SIE , 2-3 , INT
330 , SIE , 1-0 , JUV
331 , SIE , 1-1 , LAZ
332 , SIE , 2-3 , LIV
333 , SIE , 1-1 , MIL
334 , SIE , 1-1 , NAP
335 , SIE , 2-2 , PAL
336 , SIE , 2-0 , PAR
337 , SIE , 0-0 , REG
338 , SIE , 3-0 , ROM
339 , SIE , 1-2 , SAM
340 , SIE , 0-0 , TOR
341 , SIE , 1-1 , UDI
342 , TOR , 1-0 , ATA
343 , TOR , 2-0 , CAG
344 , TOR , 1-1 , CTN
345 , TOR , 0-1 , EMP
346 , TOR , 0-1 , FIO
347 , TOR , 1-1 , GEN
348 , TOR , 0-1 , INT
349 , TOR , 0-1 , JUV
350 , TOR , 0-0 , LAZ
351 , TOR , 1-2 , LIV
352 , TOR , 0-1 , MIL
353 , TOR , 2-1 , NAP
354 , TOR , 3-1 , PAL
355 , TOR , 4-4 , PAR
356 , TOR , 2-2 , REG
357 , TOR , 0-0 , ROM
358 , TOR , 1-0 , SAM
359 , TOR , 1-1 , SIE
360 , TOR , 0-1 , UDI
361 , UDI , 2-0 , ATA
362 , UDI , 0-2 , CAG
363 , UDI , 2-1 , CTN
364 , UDI , 2-2 , EMP
365 , UDI , 3-1 , FIO
366 , UDI , 3-5 , GEN
367 , UDI , 0-0 , INT
368 , UDI , 1-2 , JUV
369 , UDI , 2-2 , LAZ
370 , UDI , 2-0 , LIV
371 , UDI , 0-1 , MIL
372 , UDI , 0-5 , NAP
373 , UDI , 1-1 , PAL
374 , UDI , 2-1 , PAR
375 , UDI , 2-0 , REG
376 , UDI , 1-3 , ROM
377 , UDI , 3-2 , SAM
378 , UDI , 2-0 , SIE
379 , UDI , 2-1 , TOR
