283 , REG , 1-1 , TOR
284 , REG , 1-1 , UDI
285 , ROM , 2-2 , ASC
286 , ROM , 2-1 , ATA
287 , ROM , 2-0 , CAG
288 , ROM , 7-0 , CTN
289 , ROM , 1-1 , CHV
290 , ROM , 1-0 , EMP
291 , ROM , 3-1 , FIO
292 , ROM , 0-1 , INT
293 , ROM , 0-0 , LAZ
294 , ROM , 2-0 , LIV
295 , ROM , 4-3 , MES
296 , ROM , 1-1 , MIL
297 , ROM , 4-0 , PAL
298 , ROM , 3-0 , PAR
299 , ROM , 3-0 , REG
300 , ROM , 4-0 , SAM
301 , ROM , 1-0 , SIE
302 , ROM , 0-1 , TOR
303 , ROM , 3-1 , UDI
304 , SAM , 2-0 , ASC
305 , SAM , 2-1 , ATA
306 , SAM , 1-1 , CAG
307 , SAM , 1-0 , CTN
308 , SAM , 3-0 , CHV
309 , SAM , 1-2 , EMP
310 , SAM , 0-0 , FIO
311 , SAM , 0-2 , INT
312 , SAM , 2-0 , LAZ
313 , SAM , 4-1 , LIV
314 , SAM , 3-1 , MES
315 , SAM , 1-1 , MIL
316 , SAM , 1-1 , PAL
317 , SAM , 3-2 , PAR
318 , SAM , 0-0 , REG
319 , SAM , 2-4 , ROM
320 , SAM , 0-0 , SIE
321 , SAM , 1-0 , TOR
322 , SAM , 3-3 , UDI
323 , SIE , 0-1 , ASC
324 , SIE , 1-1 , ATA
325 , SIE , 0-0 , CAG
326 , SIE , 1-1 , CTN
327 , SIE , 2-1 , CHV
328 , SIE , 2-0 , EMP
329 , SIE , 1-1 , FIO
330 , SIE , 1-2 , INT
331 , SIE , 2-1 , LAZ
332 , SIE , 0-0 , LIV
333 , SIE , 3-1 , MES
334 , SIE , 3-4 , MIL
335 , SIE , 1-1 , PAL
336 , SIE , 2-2 , PAR
337 , SIE , 0-1 , REG
338 , SIE , 1-3 , ROM
339 , SIE , 0-2 , SAM
340 , SIE , 1-0 , TOR
341 , SIE , 2-2 , UDI
342 , TOR , 1-0 , ASC
343 , TOR , 1-2 , ATA
344 , TOR , 1-0 , CAG
345 , TOR , 1-0 , CTN
346 , TOR , 1-0 , CHV
347 , TOR , 1-0 , EMP
348 , TOR , 0-1 , FIO
349 , TOR , 1-3 , INT
350 , TOR , 0-4 , LAZ
351 , TOR , 0-0 , LIV
352 , TOR , 1-1 , MES
353 , TOR , 0-1 , MIL
354 , TOR , 0-0 , PAL
355 , TOR , 1-1 , PAR
356 , TOR , 1-2 , REG
357 , TOR , 1-2 , ROM
358 , TOR , 1-0 , SAM
359 , TOR , 1-2 , SIE
360 , TOR , 2-3 , UDI
361 , UDI , 0-0 , ASC
362 , UDI , 2-3 , ATA
363 , UDI , 3-1 , CAG
364 , UDI , 0-1 , CTN
365 , UDI , 2-1 , CHV
366 , UDI , 0-1 , EMP
367 , UDI , 1-0 , FIO
368 , UDI , 0-0 , INT
369 , UDI , 2-4 , LAZ
370 , UDI , 4-0 , LIV
371 , UDI , 1-0 , MES
372 , UDI , 0-3 , MIL
373 , UDI , 1-2 , PAL
374 , UDI , 3-3 , PAR
375 , UDI , 1-1 , REG
376 , UDI , 0-1 , ROM
377 , UDI , 1-0 , SAM
378 , UDI , 3-0 , SIE
379 , UDI , 2-0 , TOR
