257 , STU , 1-3 , DOR
258 , STU , 2-0 , FRA
259 , STU , 4-2 , HAM
260 , STU , 2-1 , H96
261 , STU , 3-1 , KAI
262 , STU , 2-0 , KAR
263 , STU , 2-0 , KÖL
264 , STU , 0-0 , LEV
265 , STU , 2-0 , WMA
266 , STU , 2-1 , MGL
267 , STU , 1-2 , FCB
268 , STU , 4-0 , NUR
269 , STU , 2-1 , STP
270 , STU , 4-0 , SKI
271 , STU , 2-2 , UER
272 , SKI , 1-2 , BOC
273 , SKI , 0-6 , BRE
274 , SKI , 1-2 , DOR
275 , SKI , 0-1 , FRA
276 , SKI , 2-0 , HAM
277 , SKI , 0-1 , H96
278 , SKI , 2-0 , KAI
279 , SKI , 1-3 , KAR
280 , SKI , 0-0 , KÖL
281 , SKI , 1-3 , LEV
282 , SKI , 1-3 , WMA
283 , SKI , 3-0 , MGL
284 , SKI , 2-0 , FCB
285 , SKI , 1-0 , NUR
286 , SKI , 2-2 , STP
287 , SKI , 0-2 , STU
288 , SKI , 3-1 , UER
289 , UER , 3-1 , BOC
290 , UER , 2-1 , BRE
291 , UER , 0-0 , DOR
292 , UER , 4-1 , FRA
293 , UER , 0-2 , HAM
294 , UER , 7-3 , H96
295 , UER , 3-1 , KAI
296 , UER , 0-3 , KAR
297 , UER , 1-1 , KÖL
298 , UER , 3-1 , LEV
299 , UER , 0-0 , WMA
300 , UER , 0-0 , MGL
301 , UER , 1-3 , FCB
302 , UER , 3-2 , NUR
303 , UER , 0-0 , STP
304 , UER , 0-0 , STU
305 , UER , 1-3 , SKI
