279 , PSG , 2-1 , NIC
280 , PSG , 0-1 , REN
281 , PSG , 2-1 , STE
282 , PSG , 2-1 , SOC
283 , PSG , 0-1 , TFC
284 , PSG , 2-2 , VAL
285 , REN , 2-0 , AUX
286 , REN , 2-3 , BOR
287 , REN , 1-0 , CAE
288 , REN , 1-0 , GRE
289 , REN , 1-1 , HAC
290 , REN , 2-2 , MFC
291 , REN , 2-1 , LIL
292 , REN , 3-1 , LOR
293 , REN , 3-0 , OL
294 , REN , 4-4 , OM
295 , REN , 2-1 , ASM
296 , REN , 1-1 , NAL
297 , REN , 0-0 , NAN
298 , REN , 1-0 , NIC
299 , REN , 1-0 , PSG
300 , REN , 1-0 , STE
301 , REN , 1-0 , SOC
302 , REN , 0-0 , TFC
303 , REN , 0-0 , VAL
304 , STE , 2-0 , AUX
305 , STE , 1-1 , BOR
306 , STE , 3-2 , CAE
307 , STE , 0-2 , GRE
308 , STE , 2-0 , HAC
309 , STE , 1-1 , MFC
310 , STE , 2-1 , LIL
311 , STE , 1-4 , LOR
312 , STE , 0-1 , OL
313 , STE , 0-3 , OM
314 , STE , 2-0 , ASM
315 , STE , 0-0 , NAL
316 , STE , 2-1 , NAN
317 , STE , 0-1 , NIC
318 , STE , 1-0 , PSG
319 , STE , 0-3 , REN
320 , STE , 2-1 , SOC
321 , STE , 2-2 , TFC
322 , STE , 4-0 , VAL
323 , SOC , 0-1 , AUX
324 , SOC , 0-0 , BOR
325 , SOC , 2-2 , CAE
326 , SOC , 1-2 , GRE
327 , SOC , 1-1 , HAC
328 , SOC , 2-1 , MFC
329 , SOC , 1-1 , LIL
330 , SOC , 1-1 , LOR
331 , SOC , 0-2 , OL
332 , SOC , 1-0 , OM
333 , SOC , 3-0 , ASM
334 , SOC , 2-1 , NAL
335 , SOC , 2-1 , NAN
336 , SOC , 1-0 , NIC
337 , SOC , 1-1 , PSG
338 , SOC , 3-0 , REN
339 , SOC , 1-0 , STE
340 , SOC , 1-2 , TFC
341 , SOC , 1-1 , VAL
342 , TFC , 1-0 , AUX
343 , TFC , 3-0 , BOR
344 , TFC , 0-1 , CAE
345 , TFC , 2-0 , GRE
346 , TFC , 2-1 , HAC
347 , TFC , 2-0 , MFC
348 , TFC , 0-0 , LIL
349 , TFC , 1-1 , LOR
350 , TFC , 0-0 , OL
351 , TFC , 0-0 , OM
352 , TFC , 0-0 , ASM
353 , TFC , 3-0 , NAL
354 , TFC , 1-0 , NAN
355 , TFC , 2-2 , NIC
356 , TFC , 4-1 , PSG
357 , TFC , 0-0 , REN
358 , TFC , 3-1 , STE
359 , TFC , 2-1 , SOC
360 , TFC , 0-0 , VAL
361 , VAL , 2-0 , AUX
362 , VAL , 1-2 , BOR
363 , VAL , 2-0 , CAE
364 , VAL , 1-1 , GRE
365 , VAL , 3-2 , HAC
366 , VAL , 0-2 , MFC
367 , VAL , 2-0 , LIL
368 , VAL , 3-1 , LOR
369 , VAL , 2-0 , OL
370 , VAL , 1-3 , OM
371 , VAL , 3-1 , ASM
372 , VAL , 0-1 , NAL
373 , VAL , 1-1 , NAN
374 , VAL , 1-0 , NIC
375 , VAL , 2-1 , PSG
376 , VAL , 0-0 , REN
377 , VAL , 1-0 , STE
378 , VAL , 2-2 , SOC
379 , VAL , 0-1 , TFC
