265 , OFF , 3-1 , KÖL
266 , OFF , 1-0 , MGL
267 , OFF , 2-3 , M60
268 , OFF , 0-0 , FCB
269 , OFF , 2-1 , NUR
270 , OFF , 1-0 , S04
271 , OFF , 2-1 , STU
272 , S04 , 3-1 , AAC
273 , S04 , 2-0 , BSC
274 , S04 , 0-2 , BRS
275 , S04 , 2-1 , BRE
276 , S04 , 4-1 , DOR
277 , S04 , 1-0 , DUI
278 , S04 , 2-0 , FRA
279 , S04 , 2-3 , HAM
280 , S04 , 1-1 , H96
281 , S04 , 1-0 , KAI
282 , S04 , 3-1 , KÖL
283 , S04 , 1-1 , MGL
284 , S04 , 2-0 , M60
285 , S04 , 1-2 , FCB
286 , S04 , 4-1 , NUR
287 , S04 , 3-0 , OFF
288 , S04 , 1-1 , STU
289 , STU , 3-1 , AAC
290 , STU , 4-2 , BSC
291 , STU , 2-2 , BRS
292 , STU , 2-2 , BRE
293 , STU , 2-2 , DOR
294 , STU , 3-2 , DUI
295 , STU , 2-0 , FRA
296 , STU , 3-0 , HAM
297 , STU , 1-0 , H96
298 , STU , 4-3 , KAI
299 , STU , 6-1 , KÖL
300 , STU , 0-3 , MGL
301 , STU , 1-1 , M60
302 , STU , 3-0 , FCB
303 , STU , 2-3 , NUR
304 , STU , 1-0 , OFF
305 , STU , 1-1 , S04
