245 , OFF , 1-3 , RWE
246 , OFF , 2-1 , FRA
247 , OFF , 4-1 , HAM
248 , OFF , 2-2 , KAI
249 , OFF , 1-4 , KÖL
250 , OFF , 4-3 , MGL
251 , OFF , 6-0 , FCB
252 , OFF , 3-0 , S04
253 , OFF , 3-1 , STU
254 , OFF , 3-1 , WUP
255 , S04 , 1-0 , BSC
256 , S04 , 3-0 , TBB
257 , S04 , 1-0 , BOC
258 , S04 , 1-1 , BRS
259 , S04 , 2-0 , BRE
260 , S04 , 5-0 , DUI
261 , S04 , 3-0 , DÜS
262 , S04 , 3-0 , RWE
263 , S04 , 1-1 , FRA
264 , S04 , 3-1 , HAM
265 , S04 , 2-1 , KAI
266 , S04 , 1-1 , KÖL
267 , S04 , 1-3 , MGL
268 , S04 , 2-2 , FCB
269 , S04 , 2-0 , OFF
270 , S04 , 2-0 , STU
271 , S04 , 1-0 , WUP
272 , STU , 1-2 , BSC
273 , STU , 2-1 , TBB
274 , STU , 1-0 , BOC
275 , STU , 0-0 , BRS
276 , STU , 2-2 , BRE
277 , STU , 2-1 , DUI
278 , STU , 1-1 , DÜS
279 , STU , 3-2 , RWE
280 , STU , 3-4 , FRA
281 , STU , 1-2 , HAM
282 , STU , 0-1 , KAI
283 , STU , 2-0 , KÖL
284 , STU , 1-2 , MGL
285 , STU , 1-2 , FCB
286 , STU , 3-1 , OFF
287 , STU , 3-1 , S04
288 , STU , 5-1 , WUP
289 , WUP , 0-0 , BSC
290 , WUP , 2-0 , TBB
291 , WUP , 1-1 , BOC
292 , WUP , 0-1 , BRS
293 , WUP , 2-4 , BRE
294 , WUP , 1-4 , DUI
295 , WUP , 2-3 , DÜS
296 , WUP , 0-2 , RWE
297 , WUP , 2-3 , FRA
298 , WUP , 0-4 , HAM
299 , WUP , 3-3 , KAI
300 , WUP , 1-4 , KÖL
301 , WUP , 1-5 , MGL
302 , WUP , 3-1 , FCB
303 , WUP , 0-0 , OFF
304 , WUP , 0-1 , S04
305 , WUP , 2-2 , STU
