282 , STU , 0-0 , LEI
283 , STU , 1-4 , LEV
284 , STU , 3-0 , MGL
285 , STU , 2-2 , FCB
286 , STU , 1-0 , NUR
287 , STU , 3-0 , S04
288 , STU , 3-0 , W09
289 , W09 , 2-2 , BRE
290 , W09 , 1-2 , DOR
291 , W09 , 1-1 , DRE
292 , W09 , 0-2 , DUI
293 , W09 , 0-0 , FRA
294 , W09 , 3-1 , FRE
295 , W09 , 3-1 , HAM
296 , W09 , 0-2 , KAI
297 , W09 , 5-1 , KAR
298 , W09 , 2-2 , KÖL
299 , W09 , 2-2 , LEI
300 , W09 , 1-2 , LEV
301 , W09 , 3-1 , MGL
302 , W09 , 1-3 , FCB
303 , W09 , 2-1 , NUR
304 , W09 , 3-0 , S04
305 , W09 , 2-4 , STU
