331 , TOT , 3-3 , LEE
332 , TOT , 0-2 , LEI
333 , TOT , 2-1 , LIV
334 , TOT , 2-2 , MUN
335 , TOT , 0-3 , MID
336 , TOT , 2-0 , NEW
337 , TOT , 2-0 , NOT
338 , TOT , 0-3 , SHW
339 , TOT , 3-0 , SOU
340 , TOT , 1-2 , WHU
341 , TOT , 0-0 , WDN
342 , WHU , 0-4 , ARS
343 , WHU , 0-0 , AST
344 , WHU , 2-0 , BLB
345 , WHU , 0-1 , CHA
346 , WHU , 1-1 , CHE
347 , WHU , 2-0 , COV
348 , WHU , 5-1 , DER
349 , WHU , 2-1 , EVE
350 , WHU , 1-5 , LEE
351 , WHU , 3-2 , LEI
352 , WHU , 2-1 , LIV
353 , WHU , 0-0 , MUN
354 , WHU , 4-0 , MID
355 , WHU , 2-0 , NEW
356 , WHU , 2-1 , NOT
357 , WHU , 0-4 , SHW
358 , WHU , 1-0 , SOU
359 , WHU , 2-1 , TOT
360 , WHU , 3-4 , WDN
361 , WDN , 1-0 , ARS
362 , WDN , 0-0 , AST
363 , WDN , 1-1 , BLB
364 , WDN , 2-1 , CHA
365 , WDN , 1-2 , CHE
366 , WDN , 2-1 , COV
367 , WDN , 2-1 , DER
368 , WDN , 1-2 , EVE
369 , WDN , 1-1 , LEE
370 , WDN , 0-1 , LEI
371 , WDN , 1-0 , LIV
372 , WDN , 1-1 , MUN
373 , WDN , 2-2 , MID
374 , WDN , 1-1 , NEW
375 , WDN , 1-3 , NOT
376 , WDN , 2-1 , SHW
377 , WDN , 0-2 , SOU
378 , WDN , 3-1 , TOT
379 , WDN , 0-0 , WHU
