279 , NIC , 0-0 , NAN
280 , NIC , 1-3 , PSG
281 , NIC , 0-0 , REI
282 , NIC , 1-2 , REN
283 , NIC , 0-0 , STE
284 , NIC , 3-2 , TFC
285 , PSG , 2-0 , BAS
286 , PSG , 3-0 , BOR
287 , PSG , 2-2 , CAE
288 , PSG , 4-2 , EVI
289 , PSG , 6-0 , GUI
290 , PSG , 4-1 , RCL
291 , PSG , 6-1 , LIL
292 , PSG , 3-1 , LOR
293 , PSG , 1-1 , OL
294 , PSG , 2-0 , OM
295 , PSG , 3-1 , MET
296 , PSG , 1-1 , ASM
297 , PSG , 0-0 , MHS
298 , PSG , 2-1 , NAN
299 , PSG , 1-0 , NIC
300 , PSG , 3-2 , REI
301 , PSG , 1-0 , REN
302 , PSG , 5-0 , STE
303 , PSG , 3-1 , TFC
304 , REI , 2-1 , BAS
305 , REI , 1-0 , BOR
306 , REI , 0-2 , CAE
307 , REI , 3-2 , EVI
308 , REI , 2-3 , GUI
309 , REI , 0-0 , RCL
310 , REI , 2-0 , LIL
311 , REI , 1-3 , LOR
312 , REI , 2-4 , OL
313 , REI , 0-5 , OM
314 , REI , 0-0 , MET
315 , REI , 1-3 , ASM
316 , REI , 1-0 , MHS
317 , REI , 3-1 , NAN
318 , REI , 0-1 , NIC
319 , REI , 2-2 , PSG
320 , REI , 1-0 , REN
321 , REI , 1-2 , STE
322 , REI , 2-0 , TFC
323 , REN , 0-1 , BAS
324 , REN , 1-1 , BOR
325 , REN , 1-4 , CAE
326 , REN , 6-2 , EVI
327 , REN , 1-0 , GUI
328 , REN , 2-0 , RCL
329 , REN , 2-0 , LIL
330 , REN , 1-0 , LOR
331 , REN , 0-1 , OL
332 , REN , 1-1 , OM
333 , REN , 1-0 , MET
334 , REN , 2-0 , ASM
335 , REN , 0-4 , MHS
336 , REN , 0-0 , NAN
337 , REN , 2-1 , NIC
338 , REN , 1-1 , PSG
339 , REN , 1-3 , REI
340 , REN , 0-0 , STE
341 , REN , 0-3 , TFC
342 , STE , 1-0 , BAS
343 , STE , 1-1 , BOR
344 , STE , 1-0 , CAE
345 , STE , 3-0 , EVI
346 , STE , 2-1 , GUI
347 , STE , 3-3 , RCL
348 , STE , 2-0 , LIL
349 , STE , 2-0 , LOR
350 , STE , 3-0 , OL
351 , STE , 2-2 , OM
352 , STE , 1-0 , MET
353 , STE , 1-1 , ASM
354 , STE , 1-0 , MHS
355 , STE , 1-0 , NAN
356 , STE , 5-0 , NIC
357 , STE , 0-1 , PSG
358 , STE , 3-1 , REI
359 , STE , 0-0 , REN
360 , STE , 0-1 , TFC
361 , TFC , 1-1 , BAS
362 , TFC , 2-1 , BOR
363 , TFC , 3-3 , CAE
364 , TFC , 1-0 , EVI
365 , TFC , 1-1 , GUI
366 , TFC , 0-2 , RCL
367 , TFC , 3-2 , LIL
368 , TFC , 2-3 , LOR
369 , TFC , 2-1 , OL
370 , TFC , 1-6 , OM
371 , TFC , 3-0 , MET
372 , TFC , 0-2 , ASM
373 , TFC , 1-0 , MHS
374 , TFC , 1-1 , NAN
375 , TFC , 2-3 , NIC
376 , TFC , 1-1 , PSG
377 , TFC , 1-0 , REI
378 , TFC , 2-1 , REN
379 , TFC , 1-1 , STE
