300 , ROM , 4-1 , ALE
301 , ROM , 4-1 , ATA
302 , ROM , 0-0 , BAR
303 , ROM , 0-2 , BOL
304 , ROM , 0-1 , FIO
305 , ROM , 3-0 , GEN
306 , ROM , 2-3 , INT
307 , ROM , 2-3 , JUV
308 , ROM , 0-2 , LAZ
309 , ROM , 1-0 , LIV
310 , ROM , 4-2 , LUC
311 , ROM , 1-4 , MIL
312 , ROM , 0-0 , MOD
313 , ROM , 1-0 , NAP
314 , ROM , 1-1 , PPA
315 , ROM , 1-0 , SAL
316 , ROM , 2-0 , SAM
317 , ROM , 1-7 , TOR
318 , ROM , 1-3 , TRI
319 , ROM , 2-0 , VIC
320 , SAL , 1-0 , ALE
321 , SAL , 0-0 , ATA
322 , SAL , 1-0 , BAR
323 , SAL , 2-0 , BOL
324 , SAL , 2-0 , FIO
325 , SAL , 4-1 , GEN
326 , SAL , 1-0 , INT
327 , SAL , 0-0 , JUV
328 , SAL , 2-0 , LAZ
329 , SAL , 2-4 , LIV
330 , SAL , 5-2 , LUC
331 , SAL , 4-3 , MIL
332 , SAL , 1-0 , MOD
333 , SAL , 3-3 , NAP
334 , SAL , 5-0 , PPA
335 , SAL , 0-1 , ROM
336 , SAL , 2-1 , SAM
337 , SAL , 1-4 , TOR
338 , SAL , 2-2 , TRI
339 , SAL , 1-0 , VIC
340 , SAM , 4-0 , ALE
341 , SAM , 1-0 , ATA
342 , SAM , 0-1 , BAR
343 , SAM , 2-0 , BOL
344 , SAM , 0-0 , FIO
345 , SAM , 1-1 , GEN
346 , SAM , 1-4 , INT
347 , SAM , 5-2 , JUV
348 , SAM , 2-1 , LAZ
349 , SAM , 1-1 , LIV
350 , SAM , 4-1 , LUC
351 , SAM , 0-0 , MIL
352 , SAM , 0-0 , MOD
353 , SAM , 2-1 , NAP
354 , SAM , 5-3 , PPA
355 , SAM , 2-1 , ROM
356 , SAM , 6-3 , SAL
357 , SAM , 0-1 , TOR
358 , SAM , 2-2 , TRI
359 , SAM , 6-1 , VIC
360 , TOR , 10-0 , ALE
361 , TOR , 4-0 , ATA
362 , TOR , 5-1 , BAR
363 , TOR , 5-1 , BOL
364 , TOR , 5-0 , FIO
365 , TOR , 2-1 , GEN
366 , TOR , 5-0 , INT
367 , TOR , 1-1 , JUV
368 , TOR , 4-3 , LAZ
369 , TOR , 5-2 , LIV
370 , TOR , 6-0 , LUC
371 , TOR , 2-1 , MIL
372 , TOR , 5-2 , MOD
373 , TOR , 4-0 , NAP
374 , TOR , 4-1 , PPA
375 , TOR , 4-1 , ROM
376 , TOR , 7-1 , SAL
377 , TOR , 3-2 , SAM
378 , TOR , 6-0 , TRI
379 , TOR , 2-0 , VIC
380 , TRI , 2-1 , ALE
381 , TRI , 1-1 , ATA
382 , TRI , 1-1 , BAR
383 , TRI , 1-0 , BOL
384 , TRI , 1-0 , FIO
