225 , Lazio , 0-2 , Roma
226 , Lazio , 1-0 , Sampdoria
227 , Lazio , 3-2 , Udinese
228 , Lecce , 0-1 , Bari
229 , Lecce , 0-1 , Bologna
230 , Lecce , 2-1 , Brescia
231 , Lecce , 3-3 , Cagliari
232 , Lecce , 1-0 , Catania
233 , Lecce , 1-1 , Cesena
234 , Lecce , 3-2 , Chievo
235 , Lecce , 1-0 , Fiorentina
236 , Lecce , 1-3 , Genoa
237 , Lecce , 1-1 , Internazionale
238 , Lecce , 2-0 , Juventus
239 , Lecce , 2-4 , Lazio
240 , Lecce , 1-1 , Milan
241 , Lecce , 2-1 , Napoli
242 , Lecce , 2-4 , Palermo
243 , Lecce , 1-1 , Parma
244 , Lecce , 1-2 , Roma
245 , Lecce , 2-3 , Sampdoria
246 , Lecce , 2-0 , Udinese
247 , Milan , 1-1 , Bari
248 , Milan , 1-0 , Bologna
249 , Milan , 3-0 , Brescia
250 , Milan , 4-1 , Cagliari
251 , Milan , 1-1 , Catania
252 , Milan , 2-0 , Cesena
253 , Milan , 3-1 , Chievo
254 , Milan , 1-0 , Fiorentina
255 , Milan , 1-0 , Genoa
256 , Milan , 3-0 , Internazionale
257 , Milan , 1-2 , Juventus
258 , Milan , 0-0 , Lazio
259 , Milan , 4-0 , Lecce
260 , Milan , 3-0 , Napoli
261 , Milan , 3-1 , Palermo
262 , Milan , 4-0 , Parma
263 , Milan , 0-1 , Roma
264 , Milan , 3-0 , Sampdoria
265 , Milan , 4-4 , Udinese
266 , Napoli , 2-2 , Bari
267 , Napoli , 4-1 , Bologna
268 , Napoli , 0-0 , Brescia
269 , Napoli , 2-1 , Cagliari
270 , Napoli , 1-0 , Catania
271 , Napoli , 2-0 , Cesena
272 , Napoli , 1-3 , Chievo
273 , Napoli , 0-0 , Fiorentina
274 , Napoli , 1-0 , Genoa
275 , Napoli , 1-1 , Internazionale
276 , Napoli , 3-0 , Juventus
277 , Napoli , 4-3 , Lazio
278 , Napoli , 1-0 , Lecce
279 , Napoli , 1-2 , Milan
280 , Napoli , 1-0 , Palermo
281 , Napoli , 2-0 , Parma
282 , Napoli , 2-0 , Roma
283 , Napoli , 4-0 , Sampdoria
284 , Napoli , 1-2 , Udinese
285 , Palermo , 2-1 , Bari
286 , Palermo , 4-1 , Bologna
287 , Palermo , 1-0 , Brescia
288 , Palermo , 0-0 , Cagliari
289 , Palermo , 3-1 , Catania
290 , Palermo , 2-2 , Cesena
291 , Palermo , 1-3 , Chievo
292 , Palermo , 2-4 , Fiorentina
293 , Palermo , 1-0 , Genoa
294 , Palermo , 1-2 , Internazionale
295 , Palermo , 2-1 , Juventus
296 , Palermo , 0-1 , Lazio
297 , Palermo , 2-2 , Lecce
298 , Palermo , 1-0 , Milan
299 , Palermo , 2-1 , Napoli
300 , Palermo , 3-1 , Parma
301 , Palermo , 3-1 , Roma
302 , Palermo , 3-0 , Sampdoria
303 , Palermo , 0-7 , Udinese
304 , Parma , 1-2 , Bari
305 , Parma , 0-0 , Bologna
306 , Parma , 2-0 , Brescia
307 , Parma , 1-2 , Cagliari
308 , Parma , 2-0 , Catania
309 , Parma , 2-2 , Cesena
310 , Parma , 0-0 , Chievo
311 , Parma , 1-1 , Fiorentina
312 , Parma , 1-1 , Genoa
313 , Parma , 2-0 , Internazionale
314 , Parma , 1-0 , Juventus
315 , Parma , 1-1 , Lazio
316 , Parma , 0-1 , Lecce
317 , Parma , 0-1 , Milan
318 , Parma , 1-3 , Napoli
319 , Parma , 3-1 , Palermo
320 , Parma , 0-0 , Roma
321 , Parma , 1-0 , Sampdoria
322 , Parma , 2-1 , Udinese
323 , Roma , 1-0 , Bari
324 , Roma , 2-2 , Bologna
325 , Roma , 1-1 , Brescia
326 , Roma , 3-0 , Cagliari
327 , Roma , 4-2 , Catania
328 , Roma , 0-0 , Cesena
329 , Roma , 1-0 , Chievo
330 , Roma , 3-2 , Fiorentina
331 , Roma , 2-1 , Genoa
332 , Roma , 1-0 , Internazionale
333 , Roma , 0-2 , Juventus
334 , Roma , 2-0 , Lazio
335 , Roma , 2-0 , Lecce
336 , Roma , 0-0 , Milan
337 , Roma , 0-2 , Napoli
338 , Roma , 2-3 , Palermo
339 , Roma , 2-2 , Parma
340 , Roma , 3-1 , Sampdoria
341 , Roma , 2-0 , Udinese
342 , Sampdoria , 3-0 , Bari
343 , Sampdoria , 3-1 , Bologna
344 , Sampdoria , 3-3 , Brescia
345 , Sampdoria , 0-1 , Cagliari
346 , Sampdoria , 0-0 , Catania
347 , Sampdoria , 2-3 , Cesena
348 , Sampdoria , 0-0 , Chievo
349 , Sampdoria , 2-1 , Fiorentina
350 , Sampdoria , 0-1 , Genoa
351 , Sampdoria , 0-2 , Internazionale
352 , Sampdoria , 0-0 , Juventus
353 , Sampdoria , 2-0 , Lazio
354 , Sampdoria , 1-2 , Lecce
355 , Sampdoria , 1-1 , Milan
356 , Sampdoria , 1-2 , Napoli
357 , Sampdoria , 1-2 , Palermo
358 , Sampdoria , 0-1 , Parma
359 , Sampdoria , 2-1 , Roma
360 , Sampdoria , 0-0 , Udinese
361 , Udinese , 1-0 , Bari
362 , Udinese , 1-1 , Bologna
363 , Udinese , 0-0 , Brescia
364 , Udinese , 1-1 , Cagliari
365 , Udinese , 2-0 , Catania
366 , Udinese , 1-0 , Cesena
367 , Udinese , 2-0 , Chievo
368 , Udinese , 2-1 , Fiorentina
369 , Udinese , 0-1 , Genoa
370 , Udinese , 3-1 , Internazionale
371 , Udinese , 0-4 , Juventus
372 , Udinese , 2-1 , Lazio
373 , Udinese , 4-0 , Lecce
374 , Udinese , 0-0 , Milan
375 , Udinese , 3-1 , Napoli
376 , Udinese , 2-1 , Palermo
377 , Udinese , 0-2 , Parma
378 , Udinese , 1-2 , Roma
379 , Udinese , 2-0 , Sampdoria
shortNames:,,Home ╲ Away,Bari !BAR,Bologna !BOL,Brescia !BRE,Cagliari !CAG,Catania !CTN,Cesena !CES,Chievo !CHV,Fiorentina !FIO,Genoa !GEN,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Lecce !LCE,Milan !MIL,Napoli !NAP,Palermo !PAL,Parma !PAR,Roma !ROM,Sampdoria !SAM,Udinese !UDI
fullNames:,,Bari,Bologna,Brescia,Cagliari,Catania,Cesena,Chievo,Fiorentina,Genoa,Internazionale,Juventus,Lazio,Lecce,Milan,Napoli,Palermo,Parma,Roma,Sampdoria,Udinese
