248 , Rayo Vallecano , 2-4 , Tenerife
249 , Rayo Vallecano , 3-2 , Valencia CF
250 , Rayo Vallecano , 0-2 , Valladolid
251 , Rayo Vallecano , 4-3 , Zaragoza
252 , Real Madrid , 2-0 , Albacete
253 , Real Madrid , 1-2 , Athletic Bilbao
254 , Real Madrid , 1-0 , Atlético Madrid
255 , Real Madrid , 1-1 , FC Barcelona
256 , Real Madrid , 4-2 , Betis
257 , Real Madrid , 1-0 , Celta de Vigo
258 , Real Madrid , 2-1 , SD Compostela
259 , Real Madrid , 1-0 , Deportivo de La Coruña
260 , Real Madrid , 1-2 , RCD Espanyol
261 , Real Madrid , 4-0 , CP Mérida
262 , Real Madrid , 1-2 , Racing de Santander
263 , Real Madrid , 1-2 , Rayo Vallecano
264 , Real Madrid , 2-3 , Real Oviedo
265 , Real Madrid , 3-2 , Real Sociedad
266 , Real Madrid , 5-0 , UD Salamanca
267 , Real Madrid , 4-1 , Sevilla FC
268 , Real Madrid , 0-1 , Sporting de Gijón
269 , Real Madrid , 2-0 , Tenerife
270 , Real Madrid , 0-0 , Valencia CF
271 , Real Madrid , 4-1 , Valladolid
272 , Real Madrid , 2-2 , Zaragoza
273 , Real Oviedo , 1-0 , Albacete
274 , Real Oviedo , 0-0 , Athletic Bilbao
275 , Real Oviedo , 1-1 , Atlético Madrid
276 , Real Oviedo , 1-2 , FC Barcelona
277 , Real Oviedo , 0-1 , Betis
278 , Real Oviedo , 1-1 , Celta de Vigo
279 , Real Oviedo , 3-1 , SD Compostela
280 , Real Oviedo , 0-2 , Deportivo de La Coruña
281 , Real Oviedo , 1-2 , RCD Espanyol
282 , Real Oviedo , 0-0 , CP Mérida
283 , Real Oviedo , 2-1 , Racing de Santander
284 , Real Oviedo , 2-0 , Rayo Vallecano
285 , Real Oviedo , 1-2 , Real Madrid
286 , Real Oviedo , 0-0 , Real Sociedad
287 , Real Oviedo , 2-2 , UD Salamanca
288 , Real Oviedo , 2-3 , Sevilla FC
289 , Real Oviedo , 1-0 , Sporting de Gijón
290 , Real Oviedo , 1-3 , Tenerife
291 , Real Oviedo , 0-1 , Valencia CF
292 , Real Oviedo , 3-8 , Valladolid
293 , Real Oviedo , 1-1 , Zaragoza
294 , Real Sociedad , 8-1 , Albacete
295 , Real Sociedad , 2-2 , Athletic Bilbao
296 , Real Sociedad , 1-0 , Atlético Madrid
297 , Real Sociedad , 1-1 , FC Barcelona
298 , Real Sociedad , 1-1 , Betis
299 , Real Sociedad , 3-1 , Celta de Vigo
300 , Real Sociedad , 0-1 , SD Compostela
301 , Real Sociedad , 2-1 , Deportivo de La Coruña
302 , Real Sociedad , 0-1 , RCD Espanyol
303 , Real Sociedad , 1-2 , CP Mérida
304 , Real Sociedad , 2-1 , Racing de Santander
305 , Real Sociedad , 2-1 , Rayo Vallecano
306 , Real Sociedad , 1-1 , Real Madrid
307 , Real Sociedad , 1-1 , Real Oviedo
308 , Real Sociedad , 1-0 , UD Salamanca
309 , Real Sociedad , 1-0 , Sevilla FC
310 , Real Sociedad , 2-0 , Sporting de Gijón
311 , Real Sociedad , 0-1 , Tenerife
312 , Real Sociedad , 5-2 , Valencia CF
313 , Real Sociedad , 1-0 , Valladolid
314 , Real Sociedad , 3-1 , Zaragoza
315 , UD Salamanca , 2-4 , Albacete
316 , UD Salamanca , 2-1 , Athletic Bilbao
317 , UD Salamanca , 1-3 , Atlético Madrid
318 , UD Salamanca , 1-3 , FC Barcelona
319 , UD Salamanca , 2-1 , Betis
320 , UD Salamanca , 0-1 , Celta de Vigo
321 , UD Salamanca , 1-0 , SD Compostela
322 , UD Salamanca , 0-5 , Deportivo de La Coruña
323 , UD Salamanca , 2-2 , RCD Espanyol
324 , UD Salamanca , 2-2 , CP Mérida
325 , UD Salamanca , 5-0 , Racing de Santander
326 , UD Salamanca , 1-2 , Rayo Vallecano
327 , UD Salamanca , 0-2 , Real Madrid
328 , UD Salamanca , 0-1 , Real Oviedo
329 , UD Salamanca , 3-3 , Real Sociedad
330 , UD Salamanca , 4-1 , Sevilla FC
331 , UD Salamanca , 3-0 , Sporting de Gijón
332 , UD Salamanca , 1-2 , Tenerife
333 , UD Salamanca , 4-0 , Valencia CF
334 , UD Salamanca , 0-0 , Valladolid
335 , UD Salamanca , 0-1 , Zaragoza
336 , Sevilla FC , 1-1 , Albacete
337 , Sevilla FC , 1-1 , Athletic Bilbao
338 , Sevilla FC , 0-0 , Atlético Madrid
339 , Sevilla FC , 1-0 , FC Barcelona
340 , Sevilla FC , 1-0 , Betis
341 , Sevilla FC , 0-0 , Celta de Vigo
342 , Sevilla FC , 0-1 , SD Compostela
343 , Sevilla FC , 0-0 , Deportivo de La Coruña
344 , Sevilla FC , 0-3 , RCD Espanyol
345 , Sevilla FC , 3-0 , CP Mérida
346 , Sevilla FC , 0-1 , Racing de Santander
347 , Sevilla FC , 1-0 , Rayo Vallecano
348 , Sevilla FC , 0-1 , Real Madrid
349 , Sevilla FC , 1-1 , Real Oviedo
350 , Sevilla FC , 2-1 , Real Sociedad
351 , Sevilla FC , 3-1 , UD Salamanca
352 , Sevilla FC , 2-0 , Sporting de Gijón
353 , Sevilla FC , 0-1 , Tenerife
354 , Sevilla FC , 1-2 , Valencia CF
355 , Sevilla FC , 1-1 , Valladolid
356 , Sevilla FC , 1-1 , Zaragoza
357 , Sporting de Gijón , 3-0 , Albacete
358 , Sporting de Gijón , 1-2 , Athletic Bilbao
