202 , Osasuna , 2-3 , Real Madrid
203 , Osasuna , 0-0 , Oviedo
204 , Osasuna , 1-1 , Real Sociedad
205 , Osasuna , 1-2 , Valencia
206 , Osasuna , 2-1 , Valladolid
207 , Osasuna , 1-0 , Villarreal
208 , Osasuna , 1-0 , Zaragoza
209 , Racing Santander , 3-0 , Athletic Bilbao
210 , Racing Santander , 4-0 , Barcelona
211 , Racing Santander , 3-0 , Celta de Vigo
212 , Racing Santander , 2-1 , Alavés
213 , Racing Santander , 0-3 , Deportivo La Coruña
214 , Racing Santander , 1-2 , Espanyol
215 , Racing Santander , 2-1 , Las Palmas
216 , Racing Santander , 0-1 , Málaga
217 , Racing Santander , 2-1 , Mallorca
218 , Racing Santander , 4-2 , Numancia
219 , Racing Santander , 0-0 , Osasuna
220 , Racing Santander , 1-1 , Rayo Vallecano
221 , Racing Santander , 0-0 , Real Madrid
222 , Racing Santander , 2-0 , Oviedo
223 , Racing Santander , 1-4 , Real Sociedad
224 , Racing Santander , 1-1 , Valencia
225 , Racing Santander , 2-2 , Valladolid
226 , Racing Santander , 3-1 , Villarreal
227 , Racing Santander , 2-1 , Zaragoza
228 , Rayo Vallecano , 1-2 , Athletic Bilbao
229 , Rayo Vallecano , 2-2 , Barcelona
230 , Rayo Vallecano , 3-0 , Celta de Vigo
231 , Rayo Vallecano , 0-1 , Alavés
232 , Rayo Vallecano , 1-1 , Deportivo La Coruña
233 , Rayo Vallecano , 1-1 , Espanyol
234 , Rayo Vallecano , 1-1 , Las Palmas
235 , Rayo Vallecano , 4-2 , Málaga
236 , Rayo Vallecano , 2-2 , Mallorca
237 , Rayo Vallecano , 2-1 , Numancia
238 , Rayo Vallecano , 2-1 , Osasuna
239 , Rayo Vallecano , 4-1 , Racing Santander
240 , Rayo Vallecano , 0-1 , Real Madrid
241 , Rayo Vallecano , 0-2 , Oviedo
242 , Rayo Vallecano , 4-1 , Real Sociedad
243 , Rayo Vallecano , 1-4 , Valencia
244 , Rayo Vallecano , 2-1 , Valladolid
245 , Rayo Vallecano , 0-1 , Villarreal
246 , Rayo Vallecano , 0-0 , Zaragoza
247 , Real Madrid , 4-1 , Athletic Bilbao
248 , Real Madrid , 2-2 , Barcelona
249 , Real Madrid , 3-0 , Celta de Vigo
250 , Real Madrid , 5-0 , Alavés
251 , Real Madrid , 3-0 , Deportivo La Coruña
252 , Real Madrid , 2-2 , Espanyol
253 , Real Madrid , 5-1 , Las Palmas
254 , Real Madrid , 4-3 , Málaga
255 , Real Madrid , 0-2 , Mallorca
256 , Real Madrid , 1-0 , Numancia
257 , Real Madrid , 1-1 , Osasuna
258 , Real Madrid , 1-0 , Racing Santander
259 , Real Madrid , 3-1 , Rayo Vallecano
260 , Real Madrid , 4-0 , Oviedo
261 , Real Madrid , 4-0 , Real Sociedad
262 , Real Madrid , 2-1 , Valencia
263 , Real Madrid , 2-1 , Valladolid
264 , Real Madrid , 4-0 , Villarreal
265 , Real Madrid , 3-0 , Zaragoza
266 , Oviedo , 5-0 , Athletic Bilbao
267 , Oviedo , 2-3 , Barcelona
268 , Oviedo , 3-1 , Celta de Vigo
269 , Oviedo , 3-3 , Alavés
270 , Oviedo , 2-3 , Deportivo La Coruña
271 , Oviedo , 2-2 , Espanyol
272 , Oviedo , 2-2 , Las Palmas
273 , Oviedo , 3-2 , Málaga
274 , Oviedo , 1-1 , Mallorca
275 , Oviedo , 3-0 , Numancia
276 , Oviedo , 2-3 , Osasuna
277 , Oviedo , 1-0 , Racing Santander
278 , Oviedo , 4-1 , Rayo Vallecano
279 , Oviedo , 1-1 , Real Madrid
280 , Oviedo , 1-0 , Real Sociedad
281 , Oviedo , 0-0 , Valencia
282 , Oviedo , 4-1 , Valladolid
283 , Oviedo , 1-3 , Villarreal
284 , Oviedo , 2-1 , Zaragoza
285 , Real Sociedad , 0-2 , Athletic Bilbao
286 , Real Sociedad , 0-6 , Barcelona
287 , Real Sociedad , 2-2 , Celta de Vigo
288 , Real Sociedad , 1-1 , Alavés
289 , Real Sociedad , 1-1 , Deportivo La Coruña
290 , Real Sociedad , 2-1 , Espanyol
291 , Real Sociedad , 1-1 , Las Palmas
292 , Real Sociedad , 4-0 , Málaga
293 , Real Sociedad , 0-1 , Mallorca
294 , Real Sociedad , 4-1 , Numancia
295 , Real Sociedad , 0-1 , Osasuna
296 , Real Sociedad , 2-2 , Racing Santander
297 , Real Sociedad , 2-0 , Rayo Vallecano
298 , Real Sociedad , 1-4 , Real Madrid
299 , Real Sociedad , 3-0 , Oviedo
300 , Real Sociedad , 1-2 , Valencia
301 , Real Sociedad , 3-1 , Valladolid
302 , Real Sociedad , 0-2 , Villarreal
303 , Real Sociedad , 1-1 , Zaragoza
304 , Valencia , 1-0 , Athletic Bilbao
305 , Valencia , 0-1 , Barcelona
306 , Valencia , 1-0 , Celta de Vigo
307 , Valencia , 1-2 , Alavés
308 , Valencia , 0-1 , Deportivo La Coruña
309 , Valencia , 0-1 , Espanyol
310 , Valencia , 5-1 , Las Palmas
311 , Valencia , 2-0 , Málaga
312 , Valencia , 4-0 , Mallorca
313 , Valencia , 3-0 , Numancia
314 , Valencia , 1-0 , Osasuna
315 , Valencia , 1-0 , Racing Santander
316 , Valencia , 2-2 , Rayo Vallecano
317 , Valencia , 0-1 , Real Madrid
318 , Valencia , 2-0 , Oviedo
319 , Valencia , 2-0 , Real Sociedad
320 , Valencia , 1-0 , Valladolid
321 , Valencia , 3-1 , Villarreal
322 , Valencia , 1-0 , Zaragoza
323 , Valladolid , 0-0 , Athletic Bilbao
324 , Valladolid , 2-2 , Barcelona
325 , Valladolid , 1-2 , Celta de Vigo
326 , Valladolid , 2-1 , Alavés
327 , Valladolid , 3-1 , Deportivo La Coruña
328 , Valladolid , 1-1 , Espanyol
329 , Valladolid , 1-0 , Las Palmas
330 , Valladolid , 0-0 , Málaga
331 , Valladolid , 2-0 , Mallorca
332 , Valladolid , 2-0 , Numancia
333 , Valladolid , 1-1 , Osasuna
334 , Valladolid , 1-1 , Racing Santander
335 , Valladolid , 1-3 , Rayo Vallecano
336 , Valladolid , 2-2 , Real Madrid
337 , Valladolid , 1-0 , Oviedo
338 , Valladolid , 2-1 , Real Sociedad
339 , Valladolid , 0-0 , Valencia
340 , Valladolid , 0-0 , Villarreal
341 , Valladolid , 2-0 , Zaragoza
342 , Villarreal , 0-0 , Athletic Bilbao
343 , Villarreal , 4-4 , Barcelona
344 , Villarreal , 2-0 , Celta de Vigo
345 , Villarreal , 2-0 , Alavés
346 , Villarreal , 3-2 , Deportivo La Coruña
347 , Villarreal , 4-0 , Espanyol
348 , Villarreal , 2-1 , Las Palmas
349 , Villarreal , 1-2 , Málaga
350 , Villarreal , 2-2 , Mallorca
351 , Villarreal , 0-0 , Numancia
352 , Villarreal , 2-0 , Osasuna
353 , Villarreal , 4-2 , Racing Santander
354 , Villarreal , 1-5 , Rayo Vallecano
355 , Villarreal , 0-1 , Real Madrid
