271 , Paris Saint-Germain , 0-0 , Lens
272 , Paris Saint-Germain , 2-2 , Lille
273 , Paris Saint-Germain , 0-0 , Lorient
274 , Paris Saint-Germain , 1-0 , Lyon
275 , Paris Saint-Germain , 2-1 , Marseille
276 , Paris Saint-Germain , 2-2 , Monaco
277 , Paris Saint-Germain , 2-2 , Montpellier
278 , Paris Saint-Germain , 2-2 , Nancy
279 , Paris Saint-Germain , 0-0 , Nice
280 , Paris Saint-Germain , 0-0 , Rennes
281 , Paris Saint-Germain , 3-1 , Saint-Étienne
282 , Paris Saint-Germain , 2-1 , Sochaux
283 , Paris Saint-Germain , 2-1 , Toulouse
284 , Paris Saint-Germain , 3-1 , Valenciennes
285 , Rennes , 4-0 , Arles-Avignon
286 , Rennes , 0-0 , Auxerre
287 , Rennes , 0-0 , Bordeaux
288 , Rennes , 2-1 , Brest
289 , Rennes , 1-1 , Caen
290 , Rennes , 2-0 , Lens
291 , Rennes , 1-1 , Lille
292 , Rennes , 1-2 , Lorient
293 , Rennes , 1-1 , Lyon
294 , Rennes , 0-2 , Marseille
295 , Rennes , 1-0 , Monaco
296 , Rennes , 0-1 , Montpellier
297 , Rennes , 0-2 , Nancy
298 , Rennes , 2-0 , Nice
299 , Rennes , 1-0 , Paris Saint-Germain
300 , Rennes , 0-0 , Saint-Étienne
301 , Rennes , 2-1 , Sochaux
302 , Rennes , 3-1 , Toulouse
303 , Rennes , 1-0 , Valenciennes
304 , Saint-Étienne , 2-0 , Arles-Avignon
305 , Saint-Étienne , 1-1 , Auxerre
306 , Saint-Étienne , 2-2 , Bordeaux
307 , Saint-Étienne , 2-0 , Brest
308 , Saint-Étienne , 1-1 , Caen
309 , Saint-Étienne , 3-1 , Lens
310 , Saint-Étienne , 1-2 , Lille
311 , Saint-Étienne , 1-2 , Lorient
312 , Saint-Étienne , 1-4 , Lyon
313 , Saint-Étienne , 1-1 , Marseille
314 , Saint-Étienne , 1-1 , Monaco
315 , Saint-Étienne , 3-0 , Montpellier
316 , Saint-Étienne , 2-1 , Nancy
317 , Saint-Étienne , 0-2 , Nice
318 , Saint-Étienne , 1-1 , Paris Saint-Germain
319 , Saint-Étienne , 1-2 , Rennes
320 , Saint-Étienne , 3-2 , Sochaux
321 , Saint-Étienne , 2-1 , Toulouse
322 , Saint-Étienne , 1-1 , Valenciennes
323 , Sochaux , 2-1 , Arles-Avignon
324 , Sochaux , 1-1 , Auxerre
325 , Sochaux , 1-1 , Bordeaux
326 , Sochaux , 2-1 , Brest
327 , Sochaux , 3-2 , Caen
328 , Sochaux , 3-0 , Lens
329 , Sochaux , 0-0 , Lille
330 , Sochaux , 2-0 , Lorient
331 , Sochaux , 0-2 , Lyon
332 , Sochaux , 1-2 , Marseille
333 , Sochaux , 3-0 , Monaco
334 , Sochaux , 0-0 , Montpellier
335 , Sochaux , 1-0 , Nancy
336 , Sochaux , 4-0 , Nice
337 , Sochaux , 3-1 , Paris Saint-Germain
338 , Sochaux , 5-1 , Rennes
339 , Sochaux , 2-1 , Saint-Étienne
340 , Sochaux , 1-3 , Toulouse
341 , Sochaux , 2-1 , Valenciennes
342 , Toulouse , 2-1 , Arles-Avignon
343 , Toulouse , 0-1 , Auxerre
