337 , Valencia , 0-5 , Real Madrid
338 , Valencia , 2-5 , Real Sociedad
339 , Valencia , 2-0 , Sevilla
340 , Valencia , 2-1 , Valladolid
341 , Valencia , 2-0 , Zaragoza
342 , Valladolid , 2-2 , Athletic Bilbao
343 , Valladolid , 0-3 , Atlético Madrid
344 , Valladolid , 1-3 , Barcelona
345 , Valladolid , 0-1 , Betis
346 , Valladolid , 0-2 , Celta de Vigo
347 , Valladolid , 1-0 , Deportivo La Coruña
348 , Valladolid , 1-1 , Espanyol
349 , Valladolid , 2-1 , Getafe
350 , Valladolid , 1-0 , Granada
351 , Valladolid , 2-0 , Levante
352 , Valladolid , 1-1 , Málaga
353 , Valladolid , 3-1 , Mallorca
354 , Valladolid , 1-3 , Osasuna
355 , Valladolid , 6-1 , Rayo Vallecano
356 , Valladolid , 2-3 , Real Madrid
357 , Valladolid , 2-2 , Real Sociedad
358 , Valladolid , 1-1 , Sevilla
359 , Valladolid , 1-1 , Valencia
360 , Valladolid , 2-0 , Zaragoza
361 , Zaragoza , 1-2 , Athletic Bilbao
362 , Zaragoza , 1-3 , Atlético Madrid
363 , Zaragoza , 0-3 , Barcelona
364 , Zaragoza , 1-2 , Betis
365 , Zaragoza , 0-1 , Celta de Vigo
366 , Zaragoza , 5-3 , Deportivo La Coruña
367 , Zaragoza , 0-0 , Espanyol
368 , Zaragoza , 0-1 , Getafe
369 , Zaragoza , 0-0 , Granada
370 , Zaragoza , 0-1 , Levante
371 , Zaragoza , 0-1 , Málaga
372 , Zaragoza , 3-2 , Mallorca
373 , Zaragoza , 3-1 , Osasuna
374 , Zaragoza , 3-0 , Rayo Vallecano
375 , Zaragoza , 1-1 , Real Madrid
376 , Zaragoza , 1-2 , Real Sociedad
377 , Zaragoza , 2-1 , Sevilla
378 , Zaragoza , 2-2 , Valencia
379 , Zaragoza , 0-1 , Valladolid
shortNames:,,Home ╲ Away,Athletic Bilbao !ATH,Atlético Madrid !ATM,Barcelona !BAR,Betis !BET,Celta de Vigo !CEL,Deportivo La Coruña !DEP,Espanyol !ESP,Getafe !GET,Granada !GRA,Levante !LEV,Málaga !MLG,Mallorca !MLL,Osasuna !OSA,Rayo Vallecano !RVA,Real Madrid !RMA,Real Sociedad !RSO,Sevilla !SEV,Valencia !VAL,Valladolid !VLD,Zaragoza !ZAR
fullNames:,,Athletic Bilbao,Atlético Madrid,Barcelona,Betis,Celta de Vigo,Deportivo La Coruña,Espanyol,Getafe,Granada,Levante,Málaga,Mallorca,Osasuna,Rayo Vallecano,Real Madrid,Real Sociedad,Sevilla,Valencia,Valladolid,Zaragoza
