218 , Monaco , 1-0 , Marseille
219 , Monaco , 2-0 , Metz
220 , Monaco , 0-0 , Montpellier
221 , Monaco , 1-0 , Nantes
222 , Monaco , 0-1 , Nice
223 , Monaco , 0-0 , Paris Saint-Germain
224 , Monaco , 1-1 , Reims
225 , Monaco , 1-1 , Rennes
226 , Monaco , 1-1 , Saint-Étienne
227 , Monaco , 4-1 , Toulouse
228 , Montpellier , 3-1 , Bastia
229 , Montpellier , 0-1 , Bordeaux
230 , Montpellier , 1-0 , Caen
231 , Montpellier , 2-0 , Evian
232 , Montpellier , 2-1 , Guingamp
233 , Montpellier , 3-3 , Lens
234 , Montpellier , 1-2 , Lille
235 , Montpellier , 1-0 , Lorient
236 , Montpellier , 1-5 , Lyon
237 , Montpellier , 2-1 , Marseille
238 , Montpellier , 2-0 , Metz
239 , Montpellier , 0-1 , Monaco
240 , Montpellier , 4-0 , Nantes
241 , Montpellier , 2-1 , Nice
242 , Montpellier , 1-2 , Paris Saint-Germain
243 , Montpellier , 3-1 , Reims
244 , Montpellier , 0-0 , Rennes
245 , Montpellier , 0-2 , Saint-Étienne
246 , Montpellier , 2-0 , Toulouse
247 , Nantes , 0-2 , Bastia
248 , Nantes , 2-1 , Bordeaux
249 , Nantes , 1-2 , Caen
250 , Nantes , 2-1 , Evian
251 , Nantes , 1-0 , Guingamp
252 , Nantes , 1-0 , Lens
253 , Nantes , 1-1 , Lille
254 , Nantes , 1-1 , Lorient
255 , Nantes , 1-1 , Lyon
256 , Nantes , 1-0 , Marseille
257 , Nantes , 0-0 , Metz
258 , Nantes , 0-1 , Monaco
259 , Nantes , 1-0 , Montpellier
260 , Nantes , 2-1 , Nice
261 , Nantes , 0-2 , Paris Saint-Germain
262 , Nantes , 1-1 , Reims
263 , Nantes , 1-1 , Rennes
264 , Nantes , 0-0 , Saint-Étienne
265 , Nantes , 1-2 , Toulouse
266 , Nice , 0-1 , Bastia
267 , Nice , 1-3 , Bordeaux
268 , Nice , 1-1 , Caen
269 , Nice , 2-2 , Evian
270 , Nice , 1-2 , Guingamp
271 , Nice , 2-1 , Lens
272 , Nice , 1-0 , Lille
273 , Nice , 3-1 , Lorient
274 , Nice , 1-3 , Lyon
275 , Nice , 2-1 , Marseille
276 , Nice , 1-0 , Metz
277 , Nice , 0-1 , Monaco
278 , Nice , 1-1 , Montpellier
279 , Nice , 0-0 , Nantes
280 , Nice , 1-3 , Paris Saint-Germain
281 , Nice , 0-0 , Reims
282 , Nice , 1-2 , Rennes
283 , Nice , 0-0 , Saint-Étienne
284 , Nice , 3-2 , Toulouse
285 , Paris Saint-Germain , 2-0 , Bastia
286 , Paris Saint-Germain , 3-0 , Bordeaux
287 , Paris Saint-Germain , 2-2 , Caen
288 , Paris Saint-Germain , 4-2 , Evian
289 , Paris Saint-Germain , 6-0 , Guingamp
290 , Paris Saint-Germain , 4-1 , Lens
291 , Paris Saint-Germain , 6-1 , Lille
292 , Paris Saint-Germain , 3-1 , Lorient
293 , Paris Saint-Germain , 1-1 , Lyon
294 , Paris Saint-Germain , 2-0 , Marseille
295 , Paris Saint-Germain , 3-1 , Metz
296 , Paris Saint-Germain , 1-1 , Monaco
297 , Paris Saint-Germain , 0-0 , Montpellier
298 , Paris Saint-Germain , 2-1 , Nantes
299 , Paris Saint-Germain , 1-0 , Nice
300 , Paris Saint-Germain , 3-2 , Reims
301 , Paris Saint-Germain , 1-0 , Rennes
302 , Paris Saint-Germain , 5-0 , Saint-Étienne
303 , Paris Saint-Germain , 3-1 , Toulouse
304 , Reims , 2-1 , Bastia
305 , Reims , 1-0 , Bordeaux
306 , Reims , 0-2 , Caen
307 , Reims , 3-2 , Evian
308 , Reims , 2-3 , Guingamp
309 , Reims , 0-0 , Lens
310 , Reims , 2-0 , Lille
311 , Reims , 1-3 , Lorient
312 , Reims , 2-4 , Lyon
313 , Reims , 0-5 , Marseille
314 , Reims , 0-0 , Metz
315 , Reims , 1-3 , Monaco
316 , Reims , 1-0 , Montpellier
317 , Reims , 3-1 , Nantes
318 , Reims , 0-1 , Nice
319 , Reims , 2-2 , Paris Saint-Germain
320 , Reims , 1-0 , Rennes
321 , Reims , 1-2 , Saint-Étienne
322 , Reims , 2-0 , Toulouse
323 , Rennes , 0-1 , Bastia
324 , Rennes , 1-1 , Bordeaux
325 , Rennes , 1-4 , Caen
326 , Rennes , 6-2 , Evian
327 , Rennes , 1-0 , Guingamp
328 , Rennes , 2-0 , Lens
329 , Rennes , 2-0 , Lille
330 , Rennes , 1-0 , Lorient
331 , Rennes , 0-1 , Lyon
332 , Rennes , 1-1 , Marseille
333 , Rennes , 1-0 , Metz
334 , Rennes , 2-0 , Monaco
335 , Rennes , 0-4 , Montpellier
336 , Rennes , 0-0 , Nantes
337 , Rennes , 2-1 , Nice
338 , Rennes , 1-1 , Paris Saint-Germain
339 , Rennes , 1-3 , Reims
340 , Rennes , 0-0 , Saint-Étienne
341 , Rennes , 0-3 , Toulouse
342 , Saint-Étienne , 1-0 , Bastia
343 , Saint-Étienne , 1-1 , Bordeaux
344 , Saint-Étienne , 1-0 , Caen
345 , Saint-Étienne , 3-0 , Evian
346 , Saint-Étienne , 2-1 , Guingamp
347 , Saint-Étienne , 3-3 , Lens
348 , Saint-Étienne , 2-0 , Lille
349 , Saint-Étienne , 2-0 , Lorient
350 , Saint-Étienne , 3-0 , Lyon
351 , Saint-Étienne , 2-2 , Marseille
352 , Saint-Étienne , 1-0 , Metz
353 , Saint-Étienne , 1-1 , Monaco
354 , Saint-Étienne , 1-0 , Montpellier
355 , Saint-Étienne , 1-0 , Nantes
356 , Saint-Étienne , 5-0 , Nice
357 , Saint-Étienne , 0-1 , Paris Saint-Germain
358 , Saint-Étienne , 3-1 , Reims
359 , Saint-Étienne , 0-0 , Rennes
360 , Saint-Étienne , 0-1 , Toulouse
361 , Toulouse , 1-1 , Bastia
362 , Toulouse , 2-1 , Bordeaux
363 , Toulouse , 3-3 , Caen
364 , Toulouse , 1-0 , Evian
365 , Toulouse , 1-1 , Guingamp
366 , Toulouse , 0-2 , Lens
367 , Toulouse , 3-2 , Lille
368 , Toulouse , 2-3 , Lorient
369 , Toulouse , 2-1 , Lyon
370 , Toulouse , 1-6 , Marseille
371 , Toulouse , 3-0 , Metz
372 , Toulouse , 0-2 , Monaco
373 , Toulouse , 1-0 , Montpellier
374 , Toulouse , 1-1 , Nantes
375 , Toulouse , 2-3 , Nice
376 , Toulouse , 1-1 , Paris Saint-Germain
377 , Toulouse , 1-0 , Reims
378 , Toulouse , 2-1 , Rennes
379 , Toulouse , 1-1 , Saint-Étienne
shortNames:,,Home ╲ Away,Bastia !BAS,Bordeaux !BOR,Caen !CAE,Evian !EVI,Guingamp !GUI,Lens !RCL,Lille !LIL,Lorient !LOR,Lyon !OL,Marseille !OM,Metz !MET,Monaco !ASM,Montpellier !MHS,Nantes !NAN,Nice !NIC,Paris Saint-Germain !PSG,Reims !REI,Rennes !REN,Saint-Étienne !STE,Toulouse !TFC
fullNames:,,Bastia,Bordeaux,Caen,Evian,Guingamp,Lens,Lille,Lorient,Lyon,Marseille,Metz,Monaco,Montpellier,Nantes,Nice,Paris Saint-Germain,Reims,Rennes,Saint-Étienne,Toulouse
