226 , Real Madrid , 3-0 , Celta de Vigo
227 , Real Madrid , 4-1 , Córdoba CF
228 , Real Madrid , 1-0 , Deportivo de La Coruña
229 , Real Madrid , 3-0 , RCD Español
230 , Real Madrid , 4-2 , Granada CF
231 , Real Madrid , 2-0 , UD Las Palmas
232 , Real Madrid , 1-0 , CD Málaga
233 , Real Madrid , 1-0 , Real Gijón
234 , Real Madrid , 2-1 , Real Sociedad
235 , Real Madrid , 2-0 , CE Sabadell FC
236 , Real Madrid , 4-1 , Sevilla CF
237 , Real Madrid , 1-1 , Valencia CF
238 , Real Sociedad , 1-0 , Atlético Bilbao
239 , Real Sociedad , 0-0 , Atlético Madrid
240 , Real Sociedad , 2-2 , CF Barcelona
241 , Real Sociedad , 6-0 , Betis
242 , Real Sociedad , 2-0 , Burgos
243 , Real Sociedad , 0-0 , Celta de Vigo
244 , Real Sociedad , 2-1 , Córdoba CF
245 , Real Sociedad , 0-1 , Deportivo de La Coruña
246 , Real Sociedad , 4-1 , RCD Español
247 , Real Sociedad , 3-1 , Granada CF
248 , Real Sociedad , 1-0 , UD Las Palmas
249 , Real Sociedad , 1-0 , CD Málaga
250 , Real Sociedad , 3-1 , Real Gijón
251 , Real Sociedad , 0-2 , Real Madrid
252 , Real Sociedad , 2-0 , CE Sabadell FC
253 , Real Sociedad , 1-1 , Sevilla CF
254 , Real Sociedad , 1-0 , Valencia CF
255 , CE Sabadell FC , 0-0 , Atlético Bilbao
256 , CE Sabadell FC , 3-1 , Atlético Madrid
257 , CE Sabadell FC , 0-0 , CF Barcelona
258 , CE Sabadell FC , 2-1 , Betis
259 , CE Sabadell FC , 2-1 , Burgos
260 , CE Sabadell FC , 1-1 , Celta de Vigo
261 , CE Sabadell FC , 1-0 , Córdoba CF
262 , CE Sabadell FC , 4-1 , Deportivo de La Coruña
263 , CE Sabadell FC , 0-2 , RCD Español
264 , CE Sabadell FC , 0-0 , Granada CF
265 , CE Sabadell FC , 0-1 , UD Las Palmas
266 , CE Sabadell FC , 1-1 , CD Málaga
267 , CE Sabadell FC , 0-2 , Real Gijón
268 , CE Sabadell FC , 1-2 , Real Madrid
269 , CE Sabadell FC , 3-1 , Real Sociedad
270 , CE Sabadell FC , 0-0 , Sevilla CF
271 , CE Sabadell FC , 1-1 , Valencia CF
272 , Sevilla CF , 0-1 , Atlético Bilbao
273 , Sevilla CF , 3-3 , Atlético Madrid
274 , Sevilla CF , 1-2 , CF Barcelona
275 , Sevilla CF , 3-1 , Betis
276 , Sevilla CF , 2-0 , Burgos
277 , Sevilla CF , 4-0 , Celta de Vigo
278 , Sevilla CF , 1-1 , Córdoba CF
279 , Sevilla CF , 1-0 , Deportivo de La Coruña
