267 , Sevilla , 0-0 , Athletic Bilbao
268 , Sevilla , 2-2 , Atlético Madrid
269 , Sevilla , 4-2 , Barcelona
270 , Sevilla , 0-1 , Betis
271 , Sevilla , 2-3 , Celta de Vigo
272 , Sevilla , 3-0 , Compostela
273 , Sevilla , 0-0 , Deportivo La Coruña
274 , Sevilla , 3-0 , Espanyol
275 , Sevilla , 1-0 , Logroñés
276 , Sevilla , 1-3 , Racing Santander
277 , Sevilla , 1-4 , Real Madrid
278 , Sevilla , 1-1 , Oviedo
279 , Sevilla , 2-0 , Real Sociedad
280 , Sevilla , 5-1 , Sporting de Gijón
281 , Sevilla , 1-2 , Tenerife
282 , Sevilla , 1-1 , Valencia
283 , Sevilla , 1-0 , Valladolid
284 , Sevilla , 2-1 , Zaragoza
285 , Sporting de Gijón , 3-2 , Albacete
286 , Sporting de Gijón , 1-1 , Athletic Bilbao
287 , Sporting de Gijón , 0-2 , Atlético Madrid
288 , Sporting de Gijón , 2-1 , Barcelona
289 , Sporting de Gijón , 1-1 , Betis
290 , Sporting de Gijón , 0-0 , Celta de Vigo
291 , Sporting de Gijón , 1-1 , Compostela
292 , Sporting de Gijón , 3-1 , Deportivo La Coruña
293 , Sporting de Gijón , 0-0 , Espanyol
294 , Sporting de Gijón , 2-2 , Logroñés
295 , Sporting de Gijón , 2-3 , Racing Santander
296 , Sporting de Gijón , 1-0 , Real Madrid
297 , Sporting de Gijón , 1-1 , Oviedo
298 , Sporting de Gijón , 1-2 , Real Sociedad
299 , Sporting de Gijón , 3-0 , Sevilla
300 , Sporting de Gijón , 1-1 , Tenerife
301 , Sporting de Gijón , 1-0 , Valencia
302 , Sporting de Gijón , 1-3 , Valladolid
303 , Sporting de Gijón , 1-3 , Zaragoza
304 , Tenerife , 2-2 , Albacete
305 , Tenerife , 1-0 , Athletic Bilbao
306 , Tenerife , 1-0 , Atlético Madrid
307 , Tenerife , 2-1 , Barcelona
308 , Tenerife , 1-4 , Betis
309 , Tenerife , 3-0 , Celta de Vigo
310 , Tenerife , 2-0 , Compostela
311 , Tenerife , 1-1 , Deportivo La Coruña
312 , Tenerife , 1-1 , Espanyol
313 , Tenerife , 4-0 , Logroñés
314 , Tenerife , 3-0 , Racing Santander
315 , Tenerife , 0-1 , Real Madrid
316 , Tenerife , 1-1 , Oviedo
317 , Tenerife , 3-0 , Real Sociedad
318 , Tenerife , 0-0 , Sevilla
319 , Tenerife , 3-0 , Sporting de Gijón
320 , Tenerife , 1-2 , Valencia
321 , Tenerife , 0-0 , Valladolid
322 , Tenerife , 2-0 , Zaragoza
323 , Valencia , 3-3 , Albacete
324 , Valencia , 3-1 , Athletic Bilbao
325 , Valencia , 0-0 , Atlético Madrid
326 , Valencia , 1-2 , Barcelona
327 , Valencia , 2-1 , Betis
328 , Valencia , 1-0 , Celta de Vigo
329 , Valencia , 4-1 , Compostela
330 , Valencia , 1-2 , Deportivo La Coruña
331 , Valencia , 0-0 , Espanyol
332 , Valencia , 3-0 , Logroñés
333 , Valencia , 1-1 , Racing Santander
334 , Valencia , 1-2 , Real Madrid
335 , Valencia , 1-0 , Oviedo
336 , Valencia , 4-2 , Real Sociedad
337 , Valencia , 0-1 , Sevilla
338 , Valencia , 0-0 , Sporting de Gijón
339 , Valencia , 2-1 , Tenerife
340 , Valencia , 3-0 , Valladolid
341 , Valencia , 3-0 , Zaragoza
342 , Valladolid , 1-1 , Albacete
343 , Valladolid , 0-1 , Athletic Bilbao
344 , Valladolid , 0-1 , Atlético Madrid
