295 , Udinese , 3-0 , Genoa
296 , Udinese , 2-1 , Inter
297 , Udinese , 0-0 , Juventus
298 , Udinese , 0-0 , Lazio
299 , Udinese , 0-0 , Milan
300 , Udinese , 2-0 , Napoli
301 , Udinese , 1-0 , Parma
302 , Udinese , 5-2 , Pescara
303 , Udinese , 1-2 , Roma
304 , Udinese , 1-2 , Sampdoria
305 , Udinese , 1-0 , Torino
shortNames:,,,Ancona,Atalanta,Brescia,Cagliari,Fiorentina,Foggia,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Parma,Pescara,Roma,Sampdoria,Torino,Udinese
fullNames:,,Ancona,Atalanta,Brescia,Cagliari,Fiorentina,Foggia,Genoa,Inter,Juventus,Lazio,Milan,Napoli,Parma,Pescara,Roma,Sampdoria,Torino,Udinese
