250 , Napoli , 2-0 , Bologna
251 , Napoli , 2-1 , Brescia
252 , Napoli , 1-1 , Fiorentina
253 , Napoli , 2-1 , Genoa
254 , Napoli , 1-0 , Internazionale
255 , Napoli , 3-3 , Juventus
256 , Napoli , 0-0 , Lazio
257 , Napoli , 4-0 , Livorno
258 , Napoli , 0-0 , Milan
259 , Napoli , 1-0 , Modena
260 , Napoli , 0-3 , Roma
261 , Napoli , 1-0 , Sampdoria
262 , Napoli , 2-2 , Torino
263 , Napoli , 2-0 , Triestina
264 , Napoli , 1-1 , Venezia
265 , Napoli , 2-2 , Vicenza
266 , Roma , 0-2 , Alessandria
267 , Roma , 3-0 , Atalanta
268 , Roma , 2-0 , Bari
269 , Roma , 1-1 , Bologna
270 , Roma , 2-1 , Brescia
271 , Roma , 2-0 , Fiorentina
272 , Roma , 0-1 , Genoa
273 , Roma , 2-1 , Internazionale
274 , Roma , 1-5 , Juventus
275 , Roma , 3-0 , Lazio
276 , Roma , 0-1 , Livorno
277 , Roma , 1-1 , Milan
278 , Roma , 0-0 , Modena
279 , Roma , 0-0 , Napoli
280 , Roma , 3-1 , Sampdoria
281 , Roma , 1-3 , Torino
282 , Roma , 4-1 , Triestina
283 , Roma , 1-2 , Venezia
284 , Roma , 0-0 , Vicenza
285 , Sampdoria , 1-1 , Alessandria
286 , Sampdoria , 1-1 , Atalanta
287 , Sampdoria , 6-1 , Bari
288 , Sampdoria , 0-1 , Bologna
289 , Sampdoria , 2-2 , Brescia
290 , Sampdoria , 1-0 , Fiorentina
291 , Sampdoria , 3-0 , Genoa
292 , Sampdoria , 1-5 , Internazionale
293 , Sampdoria , 0-3 , Juventus
294 , Sampdoria , 1-1 , Lazio
295 , Sampdoria , 2-1 , Livorno
296 , Sampdoria , 2-1 , Milan
297 , Sampdoria , 0-2 , Modena
298 , Sampdoria , 0-1 , Napoli
299 , Sampdoria , 4-0 , Roma
300 , Sampdoria , 3-1 , Torino
301 , Sampdoria , 4-1 , Triestina
302 , Sampdoria , 3-1 , Venezia
303 , Sampdoria , 2-1 , Vicenza
304 , Torino , 4-1 , Alessandria
305 , Torino , 5-3 , Atalanta
306 , Torino , 2-1 , Bari
307 , Torino , 4-0 , Bologna
308 , Torino , 4-0 , Brescia
309 , Torino , 7-2 , Fiorentina
310 , Torino , 6-0 , Genoa
311 , Torino , 5-2 , Internazionale
312 , Torino , 0-0 , Juventus
313 , Torino , 5-1 , Lazio
314 , Torino , 3-2 , Livorno
315 , Torino , 6-2 , Milan
316 , Torino , 1-1 , Modena
317 , Torino , 2-1 , Napoli
318 , Torino , 4-0 , Roma
319 , Torino , 1-1 , Sampdoria
320 , Torino , 1-1 , Triestina
321 , Torino , 2-0 , Venezia
322 , Torino , 6-0 , Vicenza
323 , Triestina , 1-3 , Alessandria
324 , Triestina , 1-3 , Atalanta
325 , Triestina , 0-1 , Bari
326 , Triestina , 3-1 , Bologna
327 , Triestina , 0-1 , Brescia
328 , Triestina , 1-1 , Fiorentina
329 , Triestina , 0-0 , Genoa
330 , Triestina , 0-0 , Internazionale
331 , Triestina , 1-5 , Juventus
332 , Triestina , 2-2 , Lazio
333 , Triestina , 0-3 , Livorno
334 , Triestina , 1-2 , Milan
335 , Triestina , 0-1 , Modena
336 , Triestina , 3-0 , Napoli
337 , Triestina , 0-2 , Roma
338 , Triestina , 1-1 , Sampdoria
339 , Triestina , 0-1 , Torino
340 , Triestina , 2-0 , Venezia
341 , Triestina , 2-0 , Vicenza
342 , Venezia , 1-1 , Alessandria
343 , Venezia , 0-0 , Atalanta
344 , Venezia , 1-2 , Bari
345 , Venezia , 2-0 , Bologna
346 , Venezia , 1-2 , Brescia
347 , Venezia , 3-0 , Fiorentina
348 , Venezia , 2-1 , Genoa
349 , Venezia , 2-1 , Internazionale
350 , Venezia , 0-2 , Juventus
351 , Venezia , 1-2 , Lazio
352 , Venezia , 1-0 , Livorno
353 , Venezia , 1-1 , Milan
354 , Venezia , 2-1 , Modena
355 , Venezia , 0-1 , Napoli
356 , Venezia , 2-3 , Roma
357 , Venezia , 0-2 , Sampdoria
358 , Venezia , 1-0 , Torino
359 , Venezia , 4-1 , Triestina
360 , Venezia , 1-2 , Vicenza
361 , Vicenza , 4-2 , Alessandria
362 , Vicenza , 0-1 , Atalanta
363 , Vicenza , 1-0 , Bari
364 , Vicenza , 0-3 , Bologna
365 , Vicenza , 2-0 , Brescia
366 , Vicenza , 1-0 , Fiorentina
367 , Vicenza , 1-0 , Genoa
368 , Vicenza , 1-1 , Internazionale
369 , Vicenza , 1-1 , Juventus
370 , Vicenza , 1-2 , Lazio
371 , Vicenza , 5-2 , Livorno
372 , Vicenza , 2-3 , Milan
373 , Vicenza , 0-1 , Modena
374 , Vicenza , 4-1 , Napoli
375 , Vicenza , 2-0 , Roma
376 , Vicenza , 1-5 , Sampdoria
377 , Vicenza , 0-3 , Torino
378 , Vicenza , 3-2 , Triestina
379 , Vicenza , 5-0 , Venezia
shortNames:,,Home ╲ Away,Alessandria !ALE,Atalanta !ATA,Bari !BAR,Bologna !BOL,Brescia !BRE,Fiorentina !FIO,Genoa !GEN,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Livorno !LIV,Milan !MIL,Modena !MOD,Napoli !NAP,Roma !ROM,Sampdoria !SAM,Torino !TOR,Triestina !TRI,Venezia !VEN,Vicenza !VIC
fullNames:,,Alessandria,Atalanta,Bari,Bologna,Brescia,Fiorentina,Genoa,Internazionale,Juventus,Lazio,Livorno,Milan,Modena,Napoli,Roma,Sampdoria,Torino,Triestina,Venezia,Vicenza
