238 , Roma , 1-0 , Atalanta
239 , Roma , 1-1 , Bari
240 , Roma , 2-0 , Bologna
241 , Roma , 3-1 , Brescia
242 , Roma , 1-0 , Fiorentina
243 , Roma , 3-2 , Internazionale
244 , Roma , 0-0 , Juventus
245 , Roma , 2-2 , Lazio
246 , Roma , 1-0 , Lecce
247 , Roma , 1-1 , Milan
248 , Roma , 3-0 , Napoli
249 , Roma , 3-1 , Parma
250 , Roma , 2-2 , Perugia
251 , Roma , 2-1 , Reggina
252 , Roma , 2-1 , Udinese
253 , Roma , 3-1 , Hellas Verona
254 , Roma , 3-1 , Vicenza
255 , Udinese , 2-4 , Atalanta
256 , Udinese , 2-0 , Bari
257 , Udinese , 3-1 , Bologna
258 , Udinese , 4-2 , Brescia
259 , Udinese , 1-3 , Fiorentina
260 , Udinese , 3-0 , Internazionale
261 , Udinese , 0-2 , Juventus
262 , Udinese , 3-4 , Lazio
263 , Udinese , 2-0 , Lecce
264 , Udinese , 0-1 , Milan
265 , Udinese , 0-0 , Napoli
266 , Udinese , 1-3 , Parma
267 , Udinese , 3-3 , Perugia
268 , Udinese , 3-0 , Reggina
269 , Udinese , 1-3 , Roma
270 , Udinese , 2-1 , Hellas Verona
271 , Udinese , 2-3 , Vicenza
272 , Hellas Verona , 2-1 , Atalanta
273 , Hellas Verona , 3-2 , Bari
274 , Hellas Verona , 5-4 , Bologna
275 , Hellas Verona , 2-1 , Brescia
276 , Hellas Verona , 2-1 , Fiorentina
277 , Hellas Verona , 2-2 , Internazionale
278 , Hellas Verona , 0-1 , Juventus
279 , Hellas Verona , 2-0 , Lazio
280 , Hellas Verona , 0-0 , Lecce
281 , Hellas Verona , 1-1 , Milan
282 , Hellas Verona , 2-1 , Napoli
283 , Hellas Verona , 0-2 , Parma
284 , Hellas Verona , 2-1 , Perugia
285 , Hellas Verona , 0-3 , Reggina
286 , Hellas Verona , 1-4 , Roma
287 , Hellas Verona , 1-1 , Udinese
288 , Hellas Verona , 1-0 , Vicenza
289 , Vicenza , 1-2 , Atalanta
290 , Vicenza , 1-0 , Bari
291 , Vicenza , 4-2 , Bologna
292 , Vicenza , 1-1 , Brescia
293 , Vicenza , 1-1 , Fiorentina
294 , Vicenza , 0-0 , Internazionale
295 , Vicenza , 0-3 , Juventus
296 , Vicenza , 1-4 , Lazio
297 , Vicenza , 0-0 , Lecce
298 , Vicenza , 2-0 , Milan
299 , Vicenza , 2-0 , Napoli
300 , Vicenza , 0-1 , Parma
301 , Vicenza , 1-0 , Perugia
302 , Vicenza , 2-1 , Reggina
303 , Vicenza , 0-2 , Roma
304 , Vicenza , 1-2 , Udinese
305 , Vicenza , 2-2 , Hellas Verona
shortNames:,,Home ╲ Away,Atalanta !ATA,Bari !BAR,Bologna !BOL,Brescia !BRE,Fiorentina !FIO,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Lecce !LCE,Milan !MIL,Napoli !NAP,Parma !PAR,Perugia !PER,Reggina !REG,Roma !ROM,Udinese !UDI,Hellas Verona !HEL,Vicenza !VIC
fullNames:,,Atalanta,Bari,Bologna,Brescia,Fiorentina,Internazionale,Juventus,Lazio,Lecce,Milan,Napoli,Parma,Perugia,Reggina,Roma,Udinese,Hellas Verona,Vicenza
