211 , Torino , 3-3 , Ambrosiana-Inter
212 , Torino , 2-0 , Bari
213 , Torino , 0-0 , Bologna
214 , Torino , 2-0 , Brescia
215 , Torino , 5-0 , Fiorentina
216 , Torino , 4-4 , Genova 1893
217 , Torino , 2-2 , Juventus
218 , Torino , 0-2 , Lazio
219 , Torino , 2-1 , Milan
220 , Torino , 1-0 , Napoli
221 , Torino , 5-0 , Palermo
222 , Torino , 1-0 , Roma
223 , Torino , 3-0 , Sampierdarenese
224 , Torino , 5-3 , Triestina
225 , Triestina , 0-0 , Alessandria
226 , Triestina , 2-1 , Ambrosiana-Inter
227 , Triestina , 4-1 , Bari
228 , Triestina , 2-2 , Bologna
229 , Triestina , 2-0 , Brescia
230 , Triestina , 5-1 , Fiorentina
231 , Triestina , 0-0 , Genova 1893
232 , Triestina , 1-0 , Juventus
233 , Triestina , 3-3 , Lazio
234 , Triestina , 1-0 , Milan
235 , Triestina , 6-1 , Napoli
236 , Triestina , 5-0 , Palermo
237 , Triestina , 0-0 , Roma
238 , Triestina , 1-0 , Sampierdarenese
239 , Triestina , 2-0 , Torino
shortNames:,,Home ╲ Away,Alessandria !ALE,Ambrosiana-Inter !AMB,Bari !BAR,Bologna !BOL,Brescia !BRE,Fiorentina !FIO,Genova 1893 !GEN,Juventus !JUV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Palermo !PAL,Roma !ROM,Sampierdarenese !SAM,Torino !TOR,Triestina !TRI
fullNames:,,Alessandria,Ambrosiana-Inter,Bari,Bologna,Brescia,Fiorentina,Genova 1893,Juventus,Lazio,Milan,Napoli,Palermo,Roma,Sampierdarenese,Torino,Triestina
