212 , Torino , 2-0 , Cesena
213 , Torino , 2-0 , Fiorentina
214 , Torino , 1-0 , Foggia
215 , Torino , 5-1 , Genoa
216 , Torino , 1-0 , Internazionale
217 , Torino , 1-1 , Juventus
218 , Torino , 3-3 , Lazio
219 , Torino , 2-0 , Milan
220 , Torino , 2-1 , Napoli
221 , Torino , 2-1 , Perugia
222 , Torino , 2-0 , Roma
223 , Torino , 3-1 , Sampdoria
224 , Torino , 1-0 , Hellas Verona
225 , Hellas Verona , 3-3 , Bologna
226 , Hellas Verona , 0-0 , Catanzaro
227 , Hellas Verona , 2-1 , Cesena
228 , Hellas Verona , 1-2 , Fiorentina
229 , Hellas Verona , 2-1 , Foggia
230 , Hellas Verona , 3-2 , Genoa
231 , Hellas Verona , 1-0 , Internazionale
232 , Hellas Verona , 0-0 , Juventus
233 , Hellas Verona , 0-0 , Lazio
234 , Hellas Verona , 0-0 , Milan
235 , Hellas Verona , 1-0 , Napoli
236 , Hellas Verona , 2-0 , Perugia
237 , Hellas Verona , 1-1 , Roma
238 , Hellas Verona , 2-2 , Sampdoria
239 , Hellas Verona , 0-0 , Torino
shortNames:,,Home ╲ Away,Bologna !BOL,Catanzaro !CTZ,Cesena !CES,Fiorentina !FIO,Foggia !FOG,Genoa !GEN,Internazionale !INT,Juventus !JUV,Lazio !LAZ,Milan !MIL,Napoli !NAP,Perugia !PER,Roma !ROM,Sampdoria !SAM,Torino !TOR,Hellas Verona !HEL
fullNames:,,Bologna,Catanzaro,Cesena,Fiorentina,Foggia,Genoa,Internazionale,Juventus,Lazio,Milan,Napoli,Perugia,Roma,Sampdoria,Torino,Hellas Verona
